Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material,Category
Windows,Window 2 Panel,W2 (1200x1200),Window 2 Panel,,,1 TIER SLIDING - 2 PANELS,MCR18,W2 (1200x1200),,Aluminum,Sliding Window
Windows,Window 2 Panel,W2 (1200x1200),Window 2 Panel,,,1 TIER SLIDING - 2 PANELS,MCR18,W2 (1200x1200),,Aluminum,Sliding Window
Windows,Window 2 Panel,W2 (1200x1200),Window 2 Panel,,,1 TIER SLIDING - 2 PANELS,MCR18,W2 (1200x1200),,Aluminum,Sliding Window
Windows,Window 2 Panel,WD2 (1200x1200),Window 2 Panel,,,1 TIER SLIDING - 2 PANELS,MCR18,WD2 (1200x1200),,Aluminum,Sliding Window
Windows,Window 2 Panel,W5 (900x1200),Window 2 Panel,,,1 TIER SLIDING - 2 PANELS,MCR18,W5 (900x1200),,Aluminum,Sliding Window
Windows,Window 2 Panel,W7 (2000x1200),Window 2 Panel,,,1 TIER SLIDING - 2 PANELS,MCR18,W7 (2000x1200),,Aluminum,Sliding Window
Windows,Window 4 panel,W1 (4200x1200),Window 4 panel,,,1 TIER SLIDING - 4 PANELS,MCR18,W1 (4200x1200),,Aluminum,Sliding Window
Windows,Window 4 panel,W6 (3250x1200),Window 4 panel,,,1 TIER SLIDING - 4 PANELS,MCR18,W6 (3250x1200),,Aluminum,Sliding Window
Windows,Window 4 panel,W8 (4500x1200),Window 4 panel,,,1 TIER SLIDING - 4 PANELS,MCR18,W8 (4500x1200),,Aluminum,Sliding Window
Windows,LOUVERED - 2 PANELS,AL4 (2000x600),LOUVERED - 2 PANELS,,,1 TIER LOUVER - 2 PANELS,MCR18,AL4 (2000x600),,Aluminum,Fixed Louvred Window
Windows,LOUVERED - 2 PANELS,AL10 (2400x500),LOUVERED - 2 PANELS,,,1 TIER LOUVER - 2 PANELS,MCR18,AL10 (2400x500),,Aluminum,Fixed Louvred Window
Windows,LOUVERED - 2 PANELS,AL3 (600x600),LOUVERED - 2 PANELS,,,1 TIER LOUVER - 1 PANELS,MCR18,AL3 (600x600),,Aluminum,Fixed Louvred Window
Windows,LOUVERED - 2 PANELS,AL12 (2000x1500),LOUVERED - 2 PANELS,,,1 TIER LOUVER - 2 PANELS,MCR18,AL12 (2000x1500),,Aluminum,Fixed Louvred Window
Windows,LOUVERED - 2 PANELS,AL15 (800x2000),LOUVERED - 2 PANELS,,,1 TIER LOUVER - 2 PANELS,MCR18,AL15 (800x2000),,Aluminum,Fixed Louvred Window
Windows,Top hung casement double,TW1 (1600x770),Top hung casement double,,,1 TIER TOP HUNG - 2 PANELS,MCR18,TW1 (1600x770),,Aluminum,Top-Hung Window
