"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Cable Trays","","","Cable Tray with Fittings","[3534688]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3534901]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3534940]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3535132]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3535185]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3535233]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3535352]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3535732]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3538744]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3538753]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3538806]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3538815]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3538856]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3538865]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3539053]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3539781]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3539947]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3539957]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3540245]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3540254]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3540371]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3540378]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3542393]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3542394]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3542649]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3543103]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3543188]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3543464]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3543475]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3543708]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3545510]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3545961]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3547064]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3548357]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3548654]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3548664]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3551852]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3553783]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3554059]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3554060]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3554678]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3557478]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3557531]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3557532]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3558641]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3560763]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3560834]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3560835]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3563140]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3563257]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3565424]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3565431]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3566956]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3566972]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3567251]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3573771]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3574163]","","","","","","","",""
"Cable Tray Fittings","","","M_Channel Reducer","[3280642]","","","","","","","",""
"Cable Tray Fittings","","","M_Channel Reducer","[3480026]","","","","","","","",""
