Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Doors,DR-GDI-2P_SW_FR,DR-GDI-2P_SW_2000L*2500H_FMD4-2HR,DR-GDI-2P_SW_FR,C1020,Interior Doors,METAL FRAME METAL DOOR IN SPRAY PAINT FINISH,,DR-GDI-2P_SW_2000L*2500H_FMD4-2HR,,
Doors,IDA - RS - Roller Shutter - Single1,3500L X 4000H - FRS3,IDA - RS - Roller Shutter - Single1,,,MOTORIZED FIRE SHUTTER WITH THERMAL INSULATION TO MANUFACTURER'S DETAIL,,3500L X 4000H - FRS3,,
Doors,IDA - RS - Roller Shutter - Single1,6500L X 4000H - FRS1 - 2HR,IDA - RS - Roller Shutter - Single1,,,MOTORIZED FIRE SHUTTER WITH THERMAL INSULATION TO MANUFACTURER'S DETAIL,,6500L X 4000H - FRS1 - 2HR,,
Doors,IDA - RS - Roller Shutter - Single1,3500L X 4000H - RS1,IDA - RS - Roller Shutter - Single1,,,MOTORIZED STEEL ROLLER SHUTTER IN POWDER COAT FINISH TO MANUFACTURER'S DETAIL,,3500L X 4000H - RS1,,
Doors,DR-GDI-1P_SW_MD2,1200L X 1500H - AD1,DR-GDI-1P_SW_MD2,C1020,Interior Doors,HEAVY DUTY ALUMINIUM FRAME ALUMINIUM DOOR IN POWDER COATED FINISH,TO COMPLY WITH SPPG STANDARD,1200L X 1500H - AD1,,
Doors,DR-RS-SL-3500W*4000H,"L1-RS-01,02,03_L*Motor",DR-RS-SL-3500W*4000H,,,MOTORISED STEEL ROLLER SHUTTERS IN POWDER COAT FINISH TO MANUFACTURER'S DETAIL,,"L1-RS-01,02,03_L*Motor",,
Doors,DR-RS-SL-2900W*3500H,FRS120-07_R*Motor,DR-RS-SL-2900W*3500H,,,MOTORISED FIRE RATED STEEL ROLLER SHUTTERS [2 HRS FIRE RATING INTEGRITY],,FRS120-07_R*Motor,,
Doors,DR-RS-SL-2900W*3500H,FRS120-07_L*Motor,DR-RS-SL-2900W*3500H,,,MOTORISED FIRE RATED STEEL ROLLER SHUTTERS [2 HRS FIRE RATING INTEGRITY],,FRS120-07_L*Motor,,
Doors,DR-GDI-LOUV_MD3,1200L X 2100H - AD3,DR-GDI-LOUV_MD3,C1020,Interior Doors,HEAVY DUTY ALUMINIUM FRAME ALUMINIUM LOUVRE DOOR IN POWDER COATED FINISH,TO COMPLY WITH SPPG STANDARD,1200L X 2100H - AD3,,
Doors,IDA - F - Double - Swing - LL - 8 Louver Panels,1900L X 2900H - AD2,IDA - F - Double - Swing - LL - 8 Louver Panels,C1020,Interior Doors,HEAVY DUTY ALUMINIUM FRAME ALUMINIUM LOUVRE DOOR IN POWDER COATED FINISH,TO COMPLY WITH SPPG STANDARD,1900L X 2900H - AD2,,
Generic Models,IDA - JTC Logo,IDA - JTC Logo,IDA - JTC Logo,,,,,IDA - JTC Logo,,<By Category>
Generic Models,GM-1880W*2650L,ABU7010 2,GM-1880W*2650L,,,,Loading/ Unloading Dock,ABU7010 2,,<By Category>
Generic Models,GM-250W*900L,Access Manhole,GM-250W*900L,,,,For Tanks in SPK RM,Access Manhole,,<By Category>
Roofs,,,Unit 2 Linkway Roof Wall,,,,,,,
Roofs,,,Unit1 Linkway Roof Wall,,,,,,,
Roofs,,,Unit 2 Linkway Roof Wall 1,,,,,,,
Windows,IDA - Louver - 1 Panel,1200L X 400H - AW11,IDA - Louver - 1 Panel,,,,2850MM SILL HEIGHT FROM 1ST STOREY FFL,1200L X 400H - AW11,,<By Category>
Windows,IDA - Louver - 1 Panel,1200L X 1000H - AW7,IDA - Louver - 1 Panel,,,,4020 SILL HEIGHT FROM 1ST STOREY FFL,1200L X 1000H - AW7,,<By Category>
Windows,IDA - Louver - 1 Panel,2560L X 2360H - AW10,IDA - Louver - 1 Panel,,,,,2560L X 2360H - AW10,,<By Category>
Windows,IDA - Fixed & Sliding - Guardhouse,2000L X 1625H - Window Type,IDA - Fixed & Sliding - Guardhouse,,,,,2000L X 1625H - Window Type,,<By Category>
Windows,IDA - Louver - 1 Panel1,5200L X 1600H - AW3,IDA - Louver - 1 Panel1,,,,,5200L X 1600H - AW3,,<By Category>
Windows,IDA - Louver - 1 Panel1,8000L X 1600H - AW2,IDA - Louver - 1 Panel1,,,,,8000L X 1600H - AW2,,<By Category>
Windows,IDA - Louver - 1 Panel1,2850L X 1600H - AW9,IDA - Louver - 1 Panel1,,,,,2850L X 1600H - AW9,,<By Category>
Windows,IDA_Glass Block,1800 x 600,IDA_Glass Block,,,,NOT FOR BS,1800 x 600,,<By Category>
Windows,IDA_Vent Block,800x800,IDA_Vent Block,,,,NOT FOR BS,800x800,,<By Category>
Windows,IDA_Vent Block,1200x1200,IDA_Vent Block,,,,NOT FOR BS,1200x1200,,<By Category>
Windows,IDA_Vent Block,1600x800 - SVB01,IDA_Vent Block,,,,NOT FOR BS,1600x800 - SVB01,,<By Category>
Mechanical Equipment,,,IDA - Hosereel - Same Scaled1,,,,,,,
Fire Alarm Devices,,,IDA - Manual Call Point,,,,,,,
Slab Edges,Slab Edge,IDA - Beam - 400W x 1200D,Slab Edge,,,,,IDA - Beam - 400W x 1200D,,<By Category>
Structural Framing,UB-Universal Beams,UB254x146x37,UB-Universal Beams,,,,,UB254x146x37,Metal - Steel - 345 MPa,
Floors,Floor,FL-CON-FF-220THK,Floor,,,,N.A.,FL-CON-FF-220THK,"Concrete Masonry, Floor Block",Concrete - Cast In Situ
Floors,Floor,FL-CON-FF-250THK,Floor,,,,N.A.,FL-CON-FF-250THK,IDA - Toilet Tile - 600W x 600L,Concrete - Cast In Situ
Floors,Floor,IDA - Toilet Ledge - 50mm,Floor,,,,,IDA - Toilet Ledge - 50mm,<By Category>,<By Category>
Floors,Floor,Floor Trench,Floor,,,,,Floor Trench,Floor Trench,<By Category>
Walls,Basic Wall,WALL-CIW-250THK_PL_INT2HR,Basic Wall,,,IDA - RC - Plaster - Int - 250mm,,WALL-CIW-250THK_PL_INT2HR,IDA - RC - SkimCoat - Int,
Walls,Basic Wall,WALL-LWCP-150THK_SC_INT2HR,Basic Wall,,,IDA - LCP - Skim Coat - Int - 100mm,LIGHTWEIGHT CONCRETE PANEL,WALL-LWCP-150THK_SC_INT2HR,IDA - LCP - SkimCoat - Int,
Walls,Basic Wall,WALL-LWCP-50THK_PL_INT2SIDETILE,Basic Wall,,,IDA - LCP - Plaster - Int - Tile 2 Sides - 100mm,LIGHTWEIGHT CONCRETE PANEL,WALL-LWCP-50THK_PL_INT2SIDETILE,IDA - LCP - Plaster - Int,
Walls,Basic Wall,WALL-LWCP-100THK_PL_INT2SIDETILE,Basic Wall,,,IDA - LCP - Plaster - Int - Tile 2 Sides - 100mm,LIGHTWEIGHT CONCRETE PANEL,WALL-LWCP-100THK_PL_INT2SIDETILE,IDA - LCP - Plaster - Int,
Walls,Basic Wall,WALL-LWCP-100THK_PL_INT1SIDETILE,Basic Wall,,,IDA - LCP - Plaster - Int - Tile 2 Sides - 100mm,LIGHTWEIGHT CONCRETE PANEL,WALL-LWCP-100THK_PL_INT1SIDETILE,IDA - LCP - Plaster - Int,
Walls,Curtain Wall,IDA - CW - Ext - Trimo,Rectangular Mullion,,,,,IDA - Trimo - Bottom - Left,,<By Category>
Walls,Curtain Wall,IDA - CW - Ext - Trimo,Rectangular Mullion,,,,,IDA - Rect - Door Frame,,"Metal - Stainless Steel,Polished"
Specialty Equipment,,,IDA- Catladder w Cage,,,,,,,
Doors,DR-GDI-TMB-SW_JANITOR,DR-GDI-TMB-SW_850W*2200H,DR-GDI-TMB-SW_JANITOR,C1020,Interior Doors,SINGLE LEAF HOLLOW TIMBER FLUSH DOOR WITH STEEL FRAME & LOUVER,,DR-GDI-TMB-SW_850W*2200H,,
Doors,DR-GDI-TMB-SW_HCP,DR-GDI-TMB-SW_1050W*2200H,DR-GDI-TMB-SW_HCP,C1020,Interior Doors,SINGLE LEAF HOLLOW TIMBER FLUSH DOOR WITH STEEL FRAME & LOUVER,WITH GRAB BAR,DR-GDI-TMB-SW_1050W*2200H,,
Doors,DR-GDI-MT-SW_660W*660H,ESS_Hatch Door,DR-GDI-MT-SW_660W*660H,,,HEAVY DUTY ALUMINIUM CHEQUER PLATE TRAP DOOR WITH MOVABLE RUNG,NOT FOR BS,ESS_Hatch Door,,
Doors,DR-RS-SL-3500W*4000H_,"L1-RS-04,05,06_R*Motor",DR-RS-SL-3500W*4000H_,,,MOTORISED FIRE RATED STEEL ROLLER SHUTTERS [2 HRS FIRE RATING INTEGRITY],,"L1-RS-04,05,06_R*Motor",,
Doors,DR-RS-SL-3500W*4000H_,"L1-RS-04,05,06_L*Motor",DR-RS-SL-3500W*4000H_,,,MOTORISED FIRE RATED STEEL ROLLER SHUTTERS [2 HRS FIRE RATING INTEGRITY],,"L1-RS-04,05,06_L*Motor",,
Doors,DR-RS-SL-3500W*4000H,"L1-RS-01,02,03_R*Motor",DR-RS-SL-3500W*4000H,,,MOTORISED STEEL ROLLER SHUTTERS IN POWDER COAT FINISH TO MANUFACTURER'S DETAIL,,"L1-RS-01,02,03_R*Motor",,
Doors,DR-RS-SL-6500W*4000H,FRS120_R*Motor,DR-RS-SL-6500W*4000H,,,MOTORISED FIRE RATED STEEL ROLLER SHUTTERS [2 HRS FIRE RATING INTEGRITY],,FRS120_R*Motor,,
