Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Pipe Fittings,FIT_PI-Cap flange,Standard,FIT_PI-Cap flange,,,,,Standard,,<By Category>
Pipe Fittings,FIT_PI-Cap flange,Standard,FIT_PI-Cap flange,,,,,,,<By Category>
Pipe Fittings,FIT_PI-Elbow welded,BCE,FIT_PI-Elbow welded,,,,,BCE,,<By Category>
Pipe Fittings,FIT_PI-Elbow welded,BCE,FIT_PI-Elbow welded,,,,,,,<By Category>
Pipe Fittings,Tee - Flanged - CS - PN 25,Standard,Tee - Flanged - CS - PN 25,,,,,Standard,,<By Category>
Pipe Fittings,Tee - Flanged - CS - PN 25,Standard,Tee - Flanged - CS - PN 25,,,,,,,<By Category>
Pipe Fittings,Elbow - Flanged - CS - PN 25,Standard,Elbow - Flanged - CS - PN 25,,,,,Standard,,<By Category>
Pipe Fittings,Elbow - Flanged - CS - PN 25,Standard,Elbow - Flanged - CS - PN 25,,,,,,,<By Category>
Pipe Fittings,FIT_PI-Elbow threaded1,BCE,FIT_PI-Elbow threaded1,,,,,BCE,,<By Category>
Pipe Fittings,FIT_PI-Elbow threaded1,BCE,FIT_PI-Elbow threaded1,,,,,,,<By Category>
Pipes,Pipe Types,SR-Pipes_Steel_Hosereel Pipe,Pipe Types,D4010.10,Water-Based Fire-Suppression,Hosereel Pipe,,SR-Pipes_Steel_Hosereel Pipe,,Black Steel
Pipes,Pipe Types,SR-Pipes_Steel_Hosereel Pipe,Pipe Types,D4010.10,Water-Based Fire-Suppression,Hosereel Pipe,,,,Black Steel
Pipes,Pipe Types,SR-Pipes-Ductile Iron_U/G Hydrant Pipe,Pipe Types,23-27 39 10,,Hydrant Pipe,,SR-Pipes-Ductile Iron_U/G Hydrant Pipe,,Ductile Iron
Pipes,Pipe Types,SR-Pipes-Ductile Iron_U/G Hydrant Pipe,Pipe Types,23-27 39 10,,Hydrant Pipe,,,,Ductile Iron
Pipes,Pipe Types,SR-Pipes_Steel_Sprinkler Pipe,Pipe Types,D4010.10,Water-Based Fire-Suppression,Sprinkler Pipe,,SR-Pipes_Steel_Sprinkler Pipe,,Black Steel
Pipes,Pipe Types,SR-Pipes_Steel_Sprinkler Pipe,Pipe Types,D4010.10,Water-Based Fire-Suppression,Sprinkler Pipe,,,,Black Steel
Pipes,Pipe Types,SR-Pipes_Steel_Hydrant Pipe,Pipe Types,D4010.10,Water-Based Fire-Suppression,Hydrant Pipe,,SR-Pipes_Steel_Hydrant Pipe,,Black Steel
Pipes,Pipe Types,SR-Pipes_Steel_Hydrant Pipe,Pipe Types,D4010.10,Water-Based Fire-Suppression,Hydrant Pipe,,,,Black Steel
Pipes,Pipe Types,SR-Pipes_Steel_Hydrant Pipe,Pipe Types,D4010.10,Water-Based Fire-Suppression,Hydrant Pipe,,SR-Pipes_Steel_Hydrant Pipe,,Ductile Iron
Pipes,Pipe Types,SR-Pipes_Steel_Hydrant Pipe,Pipe Types,D4010.10,Water-Based Fire-Suppression,Hydrant Pipe,,,,Ductile Iron
Pipes,Pipe Types,SR-Pipes_uPVC_U/G FA Pipe,Pipe Types,D4010.10,Water-Based Fire-Suppression,Fire Alarm UG Pipe,,SR-Pipes_uPVC_U/G FA Pipe,,uPVC
Pipes,Pipe Types,SR-Pipes_uPVC_U/G FA Pipe,Pipe Types,D4010.10,Water-Based Fire-Suppression,Fire Alarm UG Pipe,,,,uPVC
Pipe Accessories,FD-Gate valve 200-350,250,FD-Gate valve 200-350,D4010.10,Water-Based Fire-Suppression,Gate Valve 250mm,Valves,250,,"Aluminum, Anodized Red"
Pipe Accessories,FD-Gate valve 200-350,200,FD-Gate valve 200-350,D4010.10,Water-Based Fire-Suppression,Gate Valve 200mm,Valves,200,,"Aluminum, Anodized Red"
Pipe Accessories,FD-Gate Valve - 80 to 300mm Flanged,150mm,FD-Gate Valve - 80 to 300mm Flanged,D30,"Heating, Ventilation, and Air Conditioning (HVAC)",GATE VALVE,valves,150mm,,"Aluminum, Anodized Red"
Pipe Accessories,FD-Sump pit1,ACS_PI_SA-Sump pit,FD-Sump pit1,,,,,ACS_PI_SA-Sump pit,,<By Category>
Pipe Accessories,FD- Water level Indicator,ACS_PI_FP- Water Level,FD- Water level Indicator,,,,,ACS_PI_FP- Water Level,,<By Category>
Pipe Accessories,FD-Flexible joint 32-300,65,FD-Flexible joint 32-300,D4010.10,Water-Based Fire-Suppression,,,65,,<By Category>
Pipe Accessories,FD-Flexible joint 32-300,250,FD-Flexible joint 32-300,D4010.10,Water-Based Fire-Suppression,,,250,,<By Category>
Pipe Accessories,FD-Flexible joint 32-300,200,FD-Flexible joint 32-300,D4010.10,Water-Based Fire-Suppression,,,200,,<By Category>
Pipe Accessories,FD-Flexible joint 32-300,150,FD-Flexible joint 32-300,D4010.10,Water-Based Fire-Suppression,,,150,,<By Category>
Pipe Accessories,FD-Check valve 32-65,65,FD-Check valve 32-65,D4010.10,Water-Based Fire-Suppression,,,65,,<By Category>
Pipe Accessories,FD-Gate valve 32-65,65,FD-Gate valve 32-65,D4010.10,Water-Based Fire-Suppression,Gate valve 60mm,,65,,<By Category>
Pipe Accessories,FD-Alarm valve-150mm,150mm,FD-Alarm valve-150mm,D4010.10,Water-Based Fire-Suppression,Sprinkler Control Valve,Valves,150mm,,<By Category>
Pipe Accessories,FD-Check valve 150,200,FD-Check valve 150,,,,,200,,<By Category>
Pipe Accessories,FD-Y Strainer 32-350,250,FD-Y Strainer 32-350,D4010.10,Water-Based Fire-Suppression,,,250,,<By Category>
Pipe Accessories,FD-Y Strainer 32-350,65,FD-Y Strainer 32-350,D4010.10,Water-Based Fire-Suppression,,,65,,<By Category>
Pipe Accessories,FD-Check Valve-150mm,150,FD-Check Valve-150mm,,,,,150,,<By Category>
Pipe Accessories,FD-Water Meter,150mm,FD-Water Meter,D30,"Heating, Ventilation, and Air Conditioning (HVAC)",GATE VALVE,valves,150mm,,<By Category>
Pipe Accessories,FD-Butterfly Valve_Threaded,Butterfly Valve_Threaded,FD-Butterfly Valve_Threaded,23-27 31 17 10,,,,Butterfly Valve_Threaded,,<By Category>
Pipe Accessories,FD-Shunt gapmeter,standard,FD-Shunt gapmeter,D4010.10,Water-Based Fire-Suppression,,,standard,,<By Category>
Pipe Accessories,FD-Gate valve 100mm,100,FD-Gate valve 100mm,D2010.40,Domestic Water Piping,,,100,,<By Category>
Pipe Accessories,FD- Ball Valve,Standard,FD- Ball Valve,D2090800,,VIC BRASS BODY BALL VALVE SERIES 722,,Standard,,<By Category>
Pipe Accessories,FD-Vortex Inhibitor_150mm,FP_Pipe Accessories_Vortex Inhibitor_150mm,FD-Vortex Inhibitor_150mm,,,,,FP_Pipe Accessories_Vortex Inhibitor_150mm,,<By Category>
Pipe Accessories,FD-SPRINKLER_FLOW SWITCH,FP_SPRINKLER_FLOW SWITCH_V17,FD-SPRINKLER_FLOW SWITCH,,,,,FP_SPRINKLER_FLOW SWITCH_V17,,<By Category>
Pipe Accessories,FD-Water Level Sensor,FP_Pipe Accessories_Water Level Sensor,FD-Water Level Sensor,,,,,FP_Pipe Accessories_Water Level Sensor,,<By Category>
Pipe Accessories,FD-Check valve 25-65,50,FD-Check valve 25-65,D2010.40,Domestic Water Piping,,,50,,<By Category>
Pipe Accessories,FD-Gate valve 25-65,50,FD-Gate valve 25-65,D2010.40,Domestic Water Piping,Gate valve 50mm,,50,,<By Category>
Pipe Accessories,FD-Slab Opening-Round,Ø200,FD-Slab Opening-Round,,,,,Ø200,,<By Category>
