Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material,Prediction
Generic Models,RESTRICTED AREA,RESTRICTED AREA,RESTRICTED AREA [10063091],,,RESTRICTED AREA SIGNAGE,MCR07,RESTRICTED AREA,,Aluminum,
Generic Models,SANITARY SEWER DUCT,SANITARY SEWER DUCT,SANITARY SEWER DUCT [10065607],,,SANITARY SEWER SIGNAGE,MCR07,SANITARY SEWER DUCT,,Aluminum,
Generic Models,SANITARY SEWER DUCT,SANITARY SEWER DUCT,SANITARY SEWER DUCT [10065948],,,SANITARY SEWER SIGNAGE,MCR07,SANITARY SEWER DUCT,,Aluminum,
Generic Models,Directional signage 1,Directional signage 1,Directional signage 1 [10067096],,,DIRECTIONAL SIGNAGE,MCR07,Directional signage 1,,Aluminum,
Generic Models,Directional signage 2,Directional signage 2,Directional signage 2 [10074650],,,DIRECTIONAL SIGNAGE,MCR07,Directional signage 2,,Aluminum,
Generic Models,Directional signage 3,Directional signage 3,Directional signage 3 [10076226],,,ACCESSIBLE DIRECTIONAL SIGNAGE,MCR07,Directional signage 3,,Aluminum,
Generic Models,Directional signage 3,Directional signage 3,Directional signage 3 [10082981],,,ACCESSIBLE DIRECTIONAL SIGNAGE,MCR07,Directional signage 3,,Aluminum,
Generic Models,Directional signage 3,Directional signage 3,Directional signage 3 [10084942],,,ACCESSIBLE DIRECTIONAL SIGNAGE,MCR07,Directional signage 3,,Aluminum,
Generic Models,Directional signage 3,Directional signage 3,Directional signage 3 [10084999],,,ACCESSIBLE DIRECTIONAL SIGNAGE,MCR07,Directional signage 3,,Aluminum,
Generic Models,Directional signage 4,Directional signage 4,Directional signage 4 [10083623],,,ACCESSIBLE DIRECTIONAL SIGNAGE,MCR07,Directional signage 4,,Aluminum,
Generic Models,LIGHTNING WARNING SIGNAGE,LIGHTNING WARNING SIGNAGE,LIGHTNING WARNING SIGNAGE [10279844],,,LIGHTNING WARNING SIGNAGE,MCR07,LIGHTNING WARNING SIGNAGE,,Aluminum,
Generic Models,FE,FE,FE [10220448],,,FIRE EXTINGUISHER SIGNAGE,MCR07,FE,,Aluminum,
Generic Models,FE,FE,FE [10251849],,,FIRE EXTINGUISHER SIGNAGE,MCR07,FE,,Aluminum,
Generic Models,RB,RB,RB [10153018],,,EXIT REQUEST BUTTON SIGNAGE,MCR07,RB,,Aluminum,
Generic Models,RB,RB,RB [10251790],,,EXIT REQUEST BUTTON SIGNAGE,MCR07,RB,,Aluminum,
Generic Models,HR,HR,HR [10214696],,,HOSE REEL SIGNAGE,MCR07,HR,,Aluminum,
Generic Models,PWD PARKING,PWD PARKING,PWD PARKING [10193393],,,PWD PARKING SIGNAGE,MCR07,PWD PARKING,,Metal - Aluminum,
Generic Models,JANITOR,JANITOR,JANITOR [10220388],,,JANITOR ROOM SIGNAGE,MCR07,JANITOR,,Aluminum,
Generic Models,VISITOR PLEASE PROCEED TO GUARDHOUSE SIGN,VISITOR PLEASE PROCEED TO GUARDHOUSE SIGN,VISITOR PLEASE PROCEED TO GUARDHOUSE SIGN [10285611],,,VISITOR PLEASE PROCEED TO GUARDHOUSE SIGNAGE,MCR07,VISITOR PLEASE PROCEED TO GUARDHOUSE SIGN,,Aluminum,
Furniture,Chair-Desk,Chair-Desk,Chair-Desk [1111424],E2020200,Furniture & Accessories,MID BACK MESH CHAIR WITH ARMREST,MCR06,Chair-Desk,,Black Leather,
Furniture,Chair-Desk,Chair-Desk,Chair-Desk [1111425],E2020200,Furniture & Accessories,MID BACK MESH CHAIR WITH ARMREST,MCR06,Chair-Desk,,Black Leather,
Furniture,Desk-Guard Post,800x1500,Desk-Guard Post [7874015],E2020200,Furniture & Accessories,T2 SERIES - RECTANGULAR TABLE WITH WOODEN MODESTY PANEL,MCR06,800x1500,,Wood-ladderback chair,
Furniture,Desk-Guard Post,800x1500,Desk-Guard Post [8420597],E2020200,Furniture & Accessories,T2 SERIES - RECTANGULAR TABLE WITH WOODEN MODESTY PANEL,MCR06,800x1500,,Wood-ladderback chair,
Furniture,Low Cabinet_FAA,Low Cabinet_FAA,Low Cabinet_FAA [10190226],E2020200,Furniture & Accessories,LOW HEIGHT STEEL SWING DOOR CABINET,MCR06,Low Cabinet_FAA,,Steel,
Furniture,Table-Rectangular,1400x5600,Table-Rectangular [7679726],E2020200,Furniture & Accessories,MEETING ROOM TABLE,MCR06,1400x5600,,Steel,
Furniture,Simple_examination_couch_10807,Simple_examination_couch_10807,Simple_examination_couch_10807 [7680896],E2020200,Furniture & Accessories,FIRST AID COUCH,MCR06,Simple_examination_couch_10807,,Black Leather,
Furniture,NBS_GarranLockersLtd_Lckrs_EquipmentLockers,381L x 457D x 1828H,NBS_GarranLockersLtd_Lckrs_EquipmentLockers [7681272],126.5,,Emergency service locker,MCR06,381L x 457D x 1828H,,Steel,
Furniture,SOFA_-_LOVESEAT_20370,SOFA_-_LOVESEAT_20370,SOFA_-_LOVESEAT_20370 [7689017],,,SOFA,MCR06,SOFA_-_LOVESEAT_20370,,FABRIC,
Furniture,Reece_Chair_18706,Reece_Chair_18706,Reece_Chair_18706 [7712893],E2020200,Furniture & Accessories,Type Catalog,MCR06,Reece_Chair_18706,,FABRIC,
Furniture,Table_with_8_ladderback_chairs_4708 (1),740X1180X750,Table_with_8_ladderback_chairs_4708 (1) [7715291],,,DINNING TABLE,MCR06,740X1180X750,,WOOD,
Furniture,HermanMiller_Seating_Embody_WorkChair,Std-Ht Fully Adj Arms,HermanMiller_Seating_Embody_WorkChair [7808887],E2020200,Furniture & Accessories,MID BACK MESH CHAIR WITH ARMREST,Embody Chair,Std-Ht Fully Adj Arms,,FABRIC,
Furniture,HermanMiller_Seating_Embody_WorkChair,Std-Ht Fully Adj Arms,HermanMiller_Seating_Embody_WorkChair [7808888],E2020200,Furniture & Accessories,MID BACK MESH CHAIR WITH ARMREST,Embody Chair,Std-Ht Fully Adj Arms,,FABRIC,
Furniture,Low Cabinet_Guard Post,Low Cabinet_Guard Post,Low Cabinet_Guard Post [10039770],,,PEDESTAL DRAWER,MCR06,Low Cabinet_Guard Post,,Steel,
Furniture,Low Cabinet_Guard Post,Low Cabinet_Guard Post,Low Cabinet_Guard Post [10043480],,,PEDESTAL DRAWER,MCR06,Low Cabinet_Guard Post,,Steel,
Furniture,Hight Cabinet_FAA,Hight Cabinet_FAA,Hight Cabinet_FAA [10057355],,,FULL HEIGHT STEEL SWING DOOR CABINET,MCR06,Hight Cabinet_FAA,,Steel,
Furniture,Hight Cabinet_FAA,Hight Cabinet_FAA,Hight Cabinet_FAA [10188345],,,FULL HEIGHT STEEL SWING DOOR CABINET,MCR06,Hight Cabinet_FAA,,Steel,
Plumbing Fixtures,WASH BASIN LU3310A ,AR_SAN-001_440 x 350mm,WASH BASIN LU3310A  [7554078],C1030210,Bath & Toilet Accessories - Commercial,UNDERCOUNTER LAVATORY,MCR09,AR_SAN-001_440 x 350mm,,Steel,
Plumbing Fixtures,WASH BASIN LU3310A ,AR_SAN-001_440 x 350mm,WASH BASIN LU3310A  [7554079],C1030210,Bath & Toilet Accessories - Commercial,UNDERCOUNTER LAVATORY,MCR09,AR_SAN-001_440 x 350mm,,Steel,
Plumbing Fixtures,OMC2-TOTO-Handwash Basin-wtith auto sensor,TOTO-Handwash Basin-LW236J-LW242HFJ,OMC2-TOTO-Handwash Basin-wtith auto sensor [9849679],,,WALL HUNG LAVATORY,MCR09,TOTO-Handwash Basin-LW236J-LW242HFJ,,Water Closet - Ceramic,
Plumbing Fixtures,LOUIS-Grab Bar-LGF7010,STAINLESS STEEL SWING-UP GRAB BAR,LOUIS-Grab Bar-LGF7010 [5356462],,,STAINLESS STEEL SWING UP GRAB BAR,MCR09,STAINLESS STEEL SWING-UP GRAB BAR,,Stainless Steel,
Plumbing Fixtures,LOUIS-Grab Bar-LGF7010,STAINLESS STEEL SWING-UP GRAB BAR,LOUIS-Grab Bar-LGF7010 [5529353],,,STAINLESS STEEL SWING UP GRAB BAR,MCR09,STAINLESS STEEL SWING-UP GRAB BAR,,Stainless Steel,
Plumbing Fixtures,LOUIS-Grab Bar-LGC12075-76,LOUIS-Grab Bar-LGC12075-76,LOUIS-Grab Bar-LGC12075-76 [5515664],,,HANDICAP GRAB BAR,MCR09,LOUIS-Grab Bar-LGC12075-76,,Stainless Steel,
Plumbing Fixtures,LOUIS-Grab Bar-LGC12075-76,LOUIS-Grab Bar-LGC12075-76,LOUIS-Grab Bar-LGC12075-76 [7587654],,,HANDICAP GRAB BAR,MCR09,LOUIS-Grab Bar-LGC12075-76,,Stainless Steel,
Plumbing Fixtures,LOUIS-Shower Seat-LSS5334,LOUIS-Shower Seat-LSS5334,LOUIS-Shower Seat-LSS5334 [5515960],,,SHOWER SEAT,MCR09,LOUIS-Shower Seat-LSS5334,,Nylon,
Plumbing Fixtures,TOTO-Shower Fittings-TX433SJN n  LOUIS E1,TOTO-Shower Fittings-TX433SJN n  LOUIS E301001,TOTO-Shower Fittings-TX433SJN n  LOUIS E1 [8961230],,,CONCEALED SHOWER MIXER,MCR09,TOTO-Shower Fittings-TX433SJN n  LOUIS E301001,,BRASS WITH CHROME FINISHING,
Plumbing Fixtures,LOUIS-Grab Bar-LGL75L80,LOUIS-Grab Bars-LGL75L80,LOUIS-Grab Bar-LGL75L80 [5519568],,,HANDICAP GRAB BAR,MCR09,LOUIS-Grab Bars-LGL75L80,,Stainless Steel,
Plumbing Fixtures,LOUIS-Toilet Accessories-PC245HC,LOUIS-Toilet Accessories-PC245HC,LOUIS-Toilet Accessories-PC245HC [9853853],,,ROBE HOOK,MCR09,LOUIS-Toilet Accessories-PC245HC,,Stainless Steel,
Plumbing Fixtures,LOUIS-Toilet Accessories-PC245HC,LOUIS-Toilet Accessories-PC245HC,LOUIS-Toilet Accessories-PC245HC [9853854],,,ROBE HOOK,MCR09,LOUIS-Toilet Accessories-PC245HC,,Stainless Steel,
Plumbing Fixtures,RIGEL WH2105BP WALL HUNG WC,RIGEL WH2105BP WALL HUNG WC,RIGEL WH2105BP WALL HUNG WC [5528964],,,PEDESTAL WATER CLOSET,MCR09,RIGEL WH2105BP WALL HUNG WC,,Water Closet - Ceramic,
Plumbing Fixtures,RIGEL WH2105BP WALL HUNG WC,RIGEL WH2105BP WALL HUNG WC,RIGEL WH2105BP WALL HUNG WC [7089430],,,PEDESTAL WATER CLOSET,MCR09,RIGEL WH2105BP WALL HUNG WC,,Water Closet - Ceramic,
Plumbing Fixtures,LOUIS-Grab Bar-LG4545-Vertical,TOTO-Grab Bar-LG4545-Vertical,LOUIS-Grab Bar-LG4545-Vertical [5529504],,,HANDICAP GRAB BAR,MCR09,TOTO-Grab Bar-LG4545-Vertical,,Stainless Steel,
Plumbing Fixtures,LOUIS-Grab Bar-LG4545-Vertical,TOTO-Grab Bar-LG4545-Vertical,LOUIS-Grab Bar-LG4545-Vertical [5603624],,,HANDICAP GRAB BAR,MCR09,TOTO-Grab Bar-LG4545-Vertical,,Stainless Steel,
Plumbing Fixtures,TOTO_Bidet Spray_TX403SMCRB,TOTO_Bidet Spray_TX403SMCRB,TOTO_Bidet Spray_TX403SMCRB [5606118],,,HAND BIDET SPRAYER WITH METALLIC PVC HOSE,MCR09,TOTO_Bidet Spray_TX403SMCRB,,Metal - Chrome Polished,
Plumbing Fixtures,TOTO_Bidet Spray_TX403SMCRB,TOTO_Bidet Spray_TX403SMCRB,TOTO_Bidet Spray_TX403SMCRB [5606181],,,HAND BIDET SPRAYER WITH METALLIC PVC HOSE,MCR09,TOTO_Bidet Spray_TX403SMCRB,,Metal - Chrome Polished,
Plumbing Fixtures,ISI_IdealStandard_WCPans_Tempo_T3279,T3279 - Tempo back to wall WC pan with horizontal outlet,ISI_IdealStandard_WCSeats_Tempo_SeatAndCover [10473265],C1030200,Bath & Toilet Accessories,"Tempo seat & cover,  slow close",NA,"T697301 - Tempo Seat & Cover, Slow Close",,<By Category>,
Plumbing Fixtures,ISI_IdealStandard_WCPans_Tempo_T3279,T3279 - Tempo back to wall WC pan with horizontal outlet,ISI_IdealStandard_WCPans_Tempo_T3279 [8479410],C1030200,Bath & Toilet Accessories,Tempo back-to-wall wc pan with horizontal outlet,MCR09,T3279 - Tempo back to wall WC pan with horizontal outlet,,Water Closet - Ceramic,
Plumbing Fixtures,Sanitary-Equipment_Duravit_Urinal-Ben_084737,084737 White Alpin,Sanitary-Equipment_Duravit_Urinal-Ben_084737 [9871133],,,WALL HUNG URINAL,MCR09,084737 White Alpin,,Water Closet - Ceramic,
Plumbing Fixtures,OMC2-TOTO-Handwash Basin-LW236J-LW242HFJ,TOTO-Handwash Basin-LW236J-LW242HFJ,OMC2-TOTO-Handwash Basin-LW236J-LW242HFJ [5545539],,,WALL HUNG LAVATORY,MCR09,TOTO-Handwash Basin-LW236J-LW242HFJ,,Water Closet - Ceramic,
Plumbing Fixtures,TOTO-Flush Valve-TEF75LSV3,TEF75LSV3_E.BOX ON,TOTO-Flush Valve-TEF75LSV3 [8480776],,,SENSE FLUSH VALVE - CONCEALED BOX,MCR09,TEF75LSV3_E.BOX ON,,Steel,
Plumbing Fixtures,ASH_ArmitageShanks_Sinks_Stewart,"S6006 - Stewart Inset Sink, Single Bowl - Right Hand Drainer",ASH_ArmitageShanks_PillarTaps_Markwik_S8265 [5808232],C1030200,Bath & Toilet Accessories,"Markwik ½ high neck pillar taps h &c""",MCR09,"S8265AA - Markwik ½ High Neck Pillar Taps H & C""",,Stainless Steel,
Plumbing Fixtures,ASH_ArmitageShanks_Sinks_Stewart,"S6006 - Stewart Inset Sink, Single Bowl - Right Hand Drainer",ASH_ArmitageShanks_Sinks_Stewart [5808231],C1030200,Bath & Toilet Accessories,"Stewart inset sink, single bowl, right hand drainer",MCR09,"S6006 - Stewart Inset Sink, Single Bowl - Right Hand Drainer",,Stainless Steel,
Plumbing Fixtures,Sink_Service-Floor_Mount-Zurn-Z5420,Z5420,Sink_Service-Floor_Mount-Zurn-Z5420 [7624943],D2010310,Lavatories - Single,"Floor-Mounted, Siphon Jet Vitreous China Service Sink",MCR09,Z5420,,Water Closet - Ceramic,
Plumbing Fixtures,Deck Mounted Sensor Tap,Line-sensor Technology Sensor Faucet,Deck Mounted Sensor Tap [9920489], ,,"Sensor Tap, Deck Mounted",MCR09,Line-sensor Technology Sensor Faucet,,BRASS WITH CHROME FINISHING,
Plumbing Fixtures,Rigel-Flush Valve-W3-R-AFS202CLTV1,TEF75LSV3_E.BOX ON,Rigel-Flush Valve-W3-R-AFS202CLTV1 [7904706],,,URINAL SENSE FLUSH VALVE -CONCEALED BOX,MCR09,TEF75LSV3_E.BOX ON,,Stainless Steel,
Plumbing Fixtures,HAND DRYER,HANDDRYER,HAND DRYER [8818765],,,WALL MOUNTED HIGH SPEED HAND DRYER,MCR09,HANDDRYER,,ABS CASING,
Plumbing Fixtures,grab Bar-LG4545-Vertical,TOTO-Grab Bar-LG4545-Vertical,grab Bar-LG4545-Vertical [8203594],,,STRAIGHT GRAB BAR,MCR09,TOTO-Grab Bar-LG4545-Vertical,,Stainless Steel,
Plumbing Fixtures,TP_Holder_Jumbo_Double_7195,TP_Holder_Jumbo_Double_7195,TP_Holder_Jumbo_Double_7195 [8462935],,,"SURFACE MOUNTED 9 TWIN ROLL DOUBLE PAPER HOLDER""",MCR09,TP_Holder_Jumbo_Double_7195,,ABS CASING,
Plumbing Fixtures,TP_Holder_Jumbo_Double_7195,TP_Holder_Jumbo_Double_7195,TP_Holder_Jumbo_Double_7195 [8462936],,,"SURFACE MOUNTED 9 TWIN ROLL DOUBLE PAPER HOLDER""",MCR09,TP_Holder_Jumbo_Double_7195,,ABS CASING,
Plumbing Fixtures,Soap_Dispenser_11246,Soap_Dispenser_11246,Soap_Dispenser_11246 [9188561],,,MANUAL SOAP DISPENSER,MCR09,Soap_Dispenser_11246,,ABS CASING,
Plumbing Fixtures,Soap_Dispenser_11246,Soap_Dispenser_11246,Soap_Dispenser_11246 [10330581],,,MANUAL SOAP DISPENSER,MCR09,Soap_Dispenser_11246,,ABS CASING,
Plumbing Fixtures,EXPOSED MOUNT WASTE RECEPTACLE,BOBRICK B-43944 SEMI-RECESSED TOWEL DISP & WASTE RECEPT,EXPOSED MOUNT WASTE RECEPTACLE [8750736],,,WALL MOUNTED WASTE RECEPTACLE,MCR09,BOBRICK B-43944 SEMI-RECESSED TOWEL DISP & WASTE RECEPT,,Stainless Steel,
Plumbing Fixtures,Sanitary_Taps-Mixers_Gessi_54110,Default,Sanitary_Taps-Mixers_Gessi_54110 [8874442],,,WALL MOUNTED BIB TAP WITH LONG SWIVEL SPOUT,MCR09,Default,,BRASS WITH CHROME FINISHING,
Specialty Equipment,,,Roof_Ladder-with_Cage_6650 [1477856],,,,,,,,
Specialty Equipment,,,Roof_Ladder-with_Cage_2849 [1479141],,,,,,,,
Specialty Equipment,,,Roof_Ladder-with_Cage_2849 [1480113],,,,,,,,
Specialty Equipment,,,Roof_Ladder-with_Cage_2849 [9823548],,,,,,,,
Specialty Equipment,Gate-Pedestrian-Alvarado-MSGX,FENCING DOOR,Gate-Pedestrian-Alvarado-MSGX [1965008],E1010110,Security Equipment,MSG Full Height Pedestrian Security Gate,FENCING DOOR,FENCING DOOR,,,
Specialty Equipment,,,Roof_Ladder-with_Cage_Hydrant Tank @ 2400 [1983218],,,,,,,,
Specialty Equipment,,,Refridgerator [2801517],,,,,,,,
Specialty Equipment,,,Catladder 1 [3947853],,,,,,,,
Specialty Equipment,,,Catladder @ Wall [5803139],,,,,,,,
Specialty Equipment,,,Bolt assembly [7246557],,,,,,,,
Specialty Equipment,,,FAA_MCB_Roof_Ladder-with_Cage [7504160],,,,,,,,
Specialty Equipment,Anemometer,Anemometer,Anemometer [7631238],E1090900,Other Equipment,WIND ANEMOMETER,MCR14,Anemometer,,,
Specialty Equipment,,,WINDSOCK_21706 [7846950],,,,,,,,
Specialty Equipment,,,WINDSOCK_21706 [7851603],,,,,,,,
Specialty Equipment,Bicycle Parking,Bicycle Parking,Bicycle Parking [8589112],E1030900,Other Vehicular Equipment,Double Loop Bick Rack,MCR14,Bicycle Parking,,,
Casework,PC Vent186,PC Vent,PC Vent186 [1949776],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent187,PC Vent,PC Vent187 [1949793],E2010200,Fixed Casework,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent197,PC Vent,PC Vent197 [1949963],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent198,PC Vent,PC Vent198 [1949980],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent199,PC Vent,PC Vent199 [1949997],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent200,PC Vent,PC Vent200 [1950014],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent201,PC Vent,PC Vent201 [1950031],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent202,PC Vent,PC Vent202 [1950048],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent203,PC Vent,PC Vent203 [1950065],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent204,PC Vent,PC Vent204 [1950082],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent209,PC Vent,PC Vent209 [1950168],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent210,PC Vent,PC Vent210 [1950185],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent211,PC Vent,PC Vent211 [1950202],E2010200,Fixed Casework,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent212,PC Vent,PC Vent212 [1950219],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent225,PC Vent,PC Vent225 [1950440],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent226,PC Vent,PC Vent226 [1950457],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent227,PC Vent,PC Vent227 [1950474],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent228,PC Vent,PC Vent228 [1950491],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent325,PC Vent,PC Vent325 [2615350],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent326,PC Vent,PC Vent326 [2615367],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent327,PC Vent,PC Vent327 [2615384],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent328,PC Vent,PC Vent328 [2615401],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent329,PC Vent,PC Vent329 [2615418],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent337,PC Vent,PC Vent337 [2615554],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent338,PC Vent,PC Vent338 [2615571],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent339,PC Vent,PC Vent339 [2615588],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent340,PC Vent,PC Vent340 [2615605],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent341,PC Vent,PC Vent341 [2615622],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent342,PC Vent,PC Vent342 [2615639],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent343,PC Vent,PC Vent343 [2615656],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent416,PC Vent,PC Vent416 [2617479],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent417,PC Vent,PC Vent417 [2617496],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent418,PC Vent,PC Vent418 [2617513],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent419,PC Vent,PC Vent419 [2617530],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent420,PC Vent,PC Vent420 [2617547],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent444,PC Vent,PC Vent444 [2621767],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,Countertop_Straight_with_Sink,600 mm Depth,Sink Kitchen-Double [2801519],D2010410,Sinks - Kitchen,INSERT TYPE DOUBLE BOWL SINK,MCR09,"42 x 21""""",,Stainless Steel - Alvarado - 304 - Satin,
Casework,Countertop_Straight_with_Sink,600 mm Depth,Countertop_Straight_with_Sink [2801518],C1030400,Fabricated Cabinets & Counters,COUNTER TOP WORKMAN RESTROOM,MCR01,600 mm Depth,,Steel,
Casework,PC Vent61,PC Vent,PC Vent61 [3130881],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent62,PC Vent,PC Vent62 [3130898],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent63,PC Vent,PC Vent63 [3130915],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent64,PC Vent,PC Vent64 [3130932],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent65,PC Vent,PC Vent65 [3130949],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent66,PC Vent,PC Vent66 [3130966],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent67,PC Vent,PC Vent67 [3130983],E2010200,Fixed Casework,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent68,PC Vent,PC Vent68 [3131000],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent69,PC Vent,PC Vent69 [3131017],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent70,PC Vent,PC Vent70 [3131034],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent71,PC Vent,PC Vent71 [3131051],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent72,PC Vent,PC Vent72 [3131068],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent73,PC Vent,PC Vent73 [3131085],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent74,PC Vent,PC Vent74 [3131102],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent75,PC Vent,PC Vent75 [3131119],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent76,PC Vent,PC Vent76 [3131136],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent77,PC Vent,PC Vent77 [3131153],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent78,PC Vent,PC Vent78 [3131170],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent79,PC Vent,PC Vent79 [3131187],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent80,PC Vent,PC Vent80 [3131204],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent81,PC Vent,PC Vent81 [3131221],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent82,PC Vent,PC Vent82 [3131238],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent83,PC Vent,PC Vent83 [3131255],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent84,PC Vent,PC Vent84 [3131272],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent85,PC Vent,PC Vent85 [3309429],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent86,PC Vent,PC Vent86 [3309446],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent87,PC Vent,PC Vent87 [3309463],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent88,PC Vent,PC Vent88 [3309480],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent89,PC Vent,PC Vent89 [3309497],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent90,PC Vent,PC Vent90 [3309514],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent91,PC Vent,PC Vent91 [3309531],E2010200,Fixed Casework,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent92,PC Vent,PC Vent92 [3309548],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent93,PC Vent,PC Vent93 [3309565],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent94,PC Vent,PC Vent94 [3309582],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent95,PC Vent,PC Vent95 [3309599],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent96,PC Vent,PC Vent96 [3309616],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent97,PC Vent,PC Vent97 [3309633],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent98,PC Vent,PC Vent98 [3309650],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
Casework,PC Vent99,PC Vent,PC Vent99 [3309667],,,PC VENT BLOCK,MCR01,PC Vent,,<By Category>,
