Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material,Prediction
Generic Models,TOILET SYMBOL,TOILET SYMBOL,TOILET SYMBOL [7652682],,,TOILET SIGANGE,MCR07,TOILET SYMBOL,,<By Category>,
Generic Models,PWD SYMBOL,PWD SYMBOL,PWD SYMBOL [7653540],,,ACCESSIBLE TOILET SIGNAGE,MCR07,PWD SYMBOL,,Aluminum,
Generic Models,PWD SYMBOL,PWD SYMBOL,PWD SYMBOL [7663354],,,ACCESSIBLE TOILET SIGNAGE,MCR07,PWD SYMBOL,,Aluminum,
Generic Models,FIRST AID ROOM SIGNAGE,FIRST AID ROOM SIGNAGE,FIRST AID ROOM SIGNAGE [7654783],,,FIRST AID ROOM SIGNAGE,MCR07,FIRST AID ROOM SIGNAGE,,Aluminum,
Generic Models,FM STORE SIGNAGE,FM STORE SIGNAGE,FM STORE SIGNAGE [7655901],,,FM STORE SIGNAGE,MCR07,FM STORE SIGNAGE,,Aluminum,
Generic Models,WORKMAN REST ROOM SIGNAGE,WORKMAN REST ROOM SIGNAGE,WORKMAN REST ROOM SIGNAGE [7657286],,,WORKMAN REST ROOM SIGNAGE,MCR07,WORKMAN REST ROOM SIGNAGE,,Aluminum,
Generic Models,OPERATION OFFICE ELV SPACE SIGNAGE,OPERATION OFFICE ELV SPACE SIGNAGE,OPERATION OFFICE ELV SPACE SIGNAGE [7659788],,,OPERATION OFFICE SIGNAGE,MCR07,OPERATION OFFICE ELV SPACE SIGNAGE,,Aluminum,
Generic Models,FM OFFICE SIGNAGE,FM OFFICE SIGNAGE,FM OFFICE SIGNAGE [7661185],,,FM OFFICE SIGANGE,MCR07,FM OFFICE SIGNAGE,,<By Category>,
Generic Models,FEMALE TOILET SYMBOL SIGNAGE,FEMALE TOILET SYMBOL SIGNAGE,FEMALE TOILET SYMBOL SIGNAGE [7664309],,,FEMALE TOILET SIGNAGE,MCR07,FEMALE TOILET SYMBOL SIGNAGE,,Aluminum,
Generic Models,MALE TOILET SYMBOL SIGNAGE,MALE TOILET SYMBOL SIGNAGE,MALE TOILET SYMBOL SIGNAGE [7665439],,,MALE TOILET SIGNAGE,MCR07,MALE TOILET SYMBOL SIGNAGE,,Aluminum,
