Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material,Category
Walls,Basic Wall,TS_120mm Thk. PC Parapet Wall_Type B (with Coping),Basic Wall,,,WALL : 120mm Thk. Precast Parapet Wall with Coping (Type B),(BS 5.2) Cast In-Situ Reinforced Concrete Wall with Skim Coat,TS_120mm Thk. PC Parapet Wall_Type B (with Coping),TS_PC Parapet Wall,,Precision Blockwall
Walls,Basic Wall,TS_120mm Thk. PC Parapet Wall_Type B.1 (with Coping),Basic Wall,,,WALL : 120mm Thk. Precast Parapet Wall with Coping (Type B),(BS 5.2) Cast In-Situ Reinforced Concrete Wall with Skim Coat,TS_120mm Thk. PC Parapet Wall_Type B.1 (with Coping),TS_PC Parapet Wall,,Precision Blockwall
Walls,Basic Wall,TS_120mm Thk. PC Parapet Wall_Type A (with Coping),Basic Wall,,,WALL : 120mm Thk. Precast Parapet Wall with Coping (Type A),(BS 5.2) Cast In-Situ Reinforced Concrete Wall with Skim Coat,TS_120mm Thk. PC Parapet Wall_Type A (with Coping),TS_PC Parapet Wall,,Precision Blockwall
Walls,Basic Wall,TS_120mm Thk. PC Parapet Wall_Type A,Basic Wall,,,WALL : 120mm Thk. Precast Parapet Wall with Coping (Type A),(BS 5.2) Cast In-Situ Reinforced Concrete Wall with Skim Coat,TS_120mm Thk. PC Parapet Wall_Type A,TS_PC Parapet Wall,,Precision Blockwall
Walls,Basic Wall,TS_100mm Thk. LW Concrete Wall,Basic Wall,,,WALL : 100mm Thk. Lightweight Precast Concrete Wall with 2hr Fire Rating,,TS_100mm Thk. LW Concrete Wall,TS_LW Wall (w/ FRS),,Precision Blockwall
Walls,Basic Wall,TS_20mm Thk. Homogeneous Tile (PBU) - Cliffstone Ice,Basic Wall,,,WALL : 20mm Thk. Homogeneous Wall Tiles (300x600mm),,TS_20mm Thk. Homogeneous Tile (PBU) - Cliffstone Ice,TS_WT-01(Cliffstone Ice),,Precision Blockwall
Walls,Basic Wall,TS_16mm Thk. Gypsum Panel,Basic Wall,,,WALL : 16mm Thk. Gypsum Panel,(BS 3.2) Precast Concrete Wall with Skim Coat,TS_16mm Thk. Gypsum Panel,TS_Gypsum Panel,,Precision Blockwall
Walls,Basic Wall,TS_75mm Thk. RC Non-Structural Wall (CIS),Basic Wall,,,WALL : 75mm Thk. RC Non-Structural Wall,,TS_75mm Thk. RC Non-Structural Wall (CIS),TS_RC Wall,,Precision Blockwall
Walls,Basic Wall,TS_90mm Thk.Dry Wall,Basic Wall,,,WALL : 100mm Thk. Lightweight Precast Concrete Wall with 2hr Fire Rating,,TS_90mm Thk.Dry Wall,TS_LW Wall (w/ FRS),,Precision Blockwall
Walls,Basic Wall,TS_120mm Thk. PC Parapet Wall_Type A.2 (with Coping),Basic Wall,,,WALL : 120mm Thk. Precast Parapet Wall with Coping (Type A),(BS 5.2) Cast In-Situ Reinforced Concrete Wall with Skim Coat,TS_120mm Thk. PC Parapet Wall_Type A.2 (with Coping),TS_PC Parapet Wall,,Precision Blockwall
Walls,Basic Wall,TS_PBU Ceiling (20mm Thk High Strength Concrete),Basic Wall,,,WALL : 20mm Thk. High Strength Concrete PBU Ceiling,Ceiling,TS_PBU Ceiling (20mm Thk High Strength Concrete),TS_High Strength Concrete Ceiling,,Precision Blockwall
Walls,Basic Wall,TS_92mm Thk. RC Kerb Wall,Basic Wall,,,WALL : 92 x 100mm High RC Kerb (PBU),(BS 3.2) Precast Concrete Wall with Skim Coat,TS_92mm Thk. RC Kerb Wall,TS_Kerb,,Precision Blockwall
Walls,Basic Wall,TS_50mm Thk. RC Kerb Wall,Basic Wall,,,WALL : 50 x 100mm High RC Kerb (PBU),(BS 3.2) Precast Concrete Wall with Skim Coat,TS_50mm Thk. RC Kerb Wall,TS_Kerb,,Precision Blockwall
Walls,Basic Wall,TS_50mm Thk. Ductile Concrete Wall,Basic Wall,,,WALL : 50mm Thk. Ductile Concrete Wall,(BS 3.2) Precast Concrete Wall with Skim Coat,TS_50mm Thk. Ductile Concrete Wall,TS_Ductile Concrete Wall,,Precision Blockwall
Walls,Basic Wall,TS_20mm Thk. Ductile Concrete Wall,Basic Wall,,,WALL : 20mm Thk. Ductile Concrete Wall,(BS 3.2) Precast Concrete Wall with Skim Coat,TS_20mm Thk. Ductile Concrete Wall,TS_Ductile Concrete Wall,,Precision Blockwall
Walls,Basic Wall,TS_15mm Ceiling (CP-01),Basic Wall,,,WALL : 15mm Thk. Ceiling (Box-up),,TS_15mm Ceiling (CP-01),TS_CP-01A,,Precision Blockwall
Walls,Basic Wall,TS_150mm Thk. RC Parapet Wall,Basic Wall,,,WALL : 150mm Thk. RC Parapet Wall,(BS 5.2) Cast In-Situ Reinforced Concrete Wall with Skim Coat,TS_150mm Thk. RC Parapet Wall,TS_RC Parapet Wall,,Precision Blockwall
Walls,Basic Wall,TS_2mm Aluminium Panel (Powder Coated),Basic Wall,,,WALL : 150mm Thk. Lightweight Precast Concrete Wall with 2hr Fire Rating,,TS_2mm Aluminium Panel (Powder Coated),TS_Aluminun Powder Coat,,Precision Blockwall
Walls,Basic Wall,TS_PBU Ceiling (9mm Calcium Silicate),Basic Wall,,,WALL : 9mm Thk. Calcium Silicate PBU Ceiling,,TS_PBU Ceiling (9mm Calcium Silicate),TS_Calcium Silicate,,Precision Blockwall
Walls,Basic Wall,TS_90mm Thk. RC Kerb Wall,Basic Wall,,,WALL : 50 x 100mm High RC Kerb (PBU),(BS 3.2) Precast Concrete Wall with Skim Coat,TS_90mm Thk. RC Kerb Wall,TS_Kerb,,Precision Blockwall
Walls,Basic Wall,TS_150mm Thk. RC Kerb Wall,Basic Wall,,,WALL : 92 x 100mm High RC Kerb (PBU),(BS 3.2) Precast Concrete Wall with Skim Coat,TS_150mm Thk. RC Kerb Wall,TS_Kerb,,Precision Blockwall
Walls,Basic Wall,TS_50mm Thk. PC Non-Structural Wall (FRS 2hr),Basic Wall,,,WALL : 150mm Thk. Precast Non-Structural Wall with 2hr Fire Rating,,TS_50mm Thk. PC Non-Structural Wall (FRS 2hr),TS_PC Wall (w/ FR),,Precision Blockwall
Walls,Basic Wall,TS_120mm Thk. PC Non-Structural Wall,Basic Wall,,,WALL : 150mm Thk. Precast Non-Structural Wall,(BS 3.2) Precast Concrete Wall with Skim Coat,TS_120mm Thk. PC Non-Structural Wall,TS_PC Wall,,Precision Blockwall
Site,,,TS_PWD_1400x900 (t),,,,,,,,NOT SURE
Site,TS_Tactile Tiles-600 (t),Single Row,TS_Tactile Tiles-600 (t),,,,,Single Row,,,NOT SURE
Site,,,TS_PWD,,,,,,,,NOT SURE
Generic Models,TS_Service Duct,Service Duct Box-up,TS_Service Duct,,,,,Service Duct Box-up,,,Generic Model (MISC)
Generic Models,,,TS_L3 Headroom Clearance,,,,,,,,Generic Model (MISC)
Generic Models,,,TS_L4 Headroom Clearance,,,,,,,,Generic Model (MISC)
Generic Models,TS_Feature Frame (East),TS_Feature Frame (East),TS_Feature Frame (East),,,,,TS_Feature Frame (East),,,Generic Model (MISC)
Generic Models,,,TS_Depression Component,,,,,,,,Generic Model (MISC)
Generic Models,TS_Feature Frame (North),TS_Feature Frame (North),TS_Feature Frame (North),,,,,TS_Feature Frame (North),,,Generic Model (MISC)
Generic Models,TS_Feature Frame (West 2),TS_Feature Frame (West 2),TS_Feature Frame (West 2),,,,,TS_Feature Frame (West 2),,,Generic Model (MISC)
Generic Models,TS_Feature Frame (South),TS_Feature Frame (South),TS_Feature Frame (South),,,,,TS_Feature Frame (South),,,Generic Model (MISC)
Doors,TS_RS1,RS1,TS_RS1,23-17 11 10,,"Door : Roller Shutter, Hot Dipped Galvanized Steel With Pre-Coated Paint",MCR03-01-01-,RS1,,,General Door Item
Doors,TS_MDV1,MDV1,TS_MDV1,,,"Door : Swing Door, Hot Dipped Galvanized Steel With Spray Paint",MCR03-01-01-,MDV1,,,General Door Item
Doors,TS_MD3,MD3,TS_MD3,,,"Door : Swing Door, Hot Dipped Galvanized Steel With Spray Paint",MCR03-01-01-,MD3,,,General Door Item
Doors,TS_RS2,RS2,TS_RS2,23-17 11 10,,"Door : Roller Shutter, Hot Dipped Galvanized Steel With Pre-Coated Paint",MCR03-01-01-,RS2,,,General Door Item
