"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Electrical Equipment","ACM_ELEC_DB","DB-SS","ACM_ELEC_DB","[3315249]","","","","","DB-SS","",""
"Lighting Fixtures","","","DL1","[3817810]","","","","","","","",""
"Lighting Fixtures","","","DL1","[4107852]","","","","","","","",""
"Lighting Fixtures","","","DL1","[4107862]","","","","","","","",""
"Lighting Fixtures","","","DL1","[4107874]","","","","","","","",""
"Lighting Fixtures","","","DL1","[4107882]","","","","","","","",""
"Lighting Fixtures","","","DL1","[4356032]","","","","","","","",""
"Lighting Fixtures","ACM_LTG_Exterior Lighting_Wall Mounted","L5B_WP","ACM_LTG_Exterior Lighting_Wall Mounted","[4498442]","","","30W LED LAMP SURFACED MOUNTED WEATHERPROOF FITTING WITH HIGH LIGHT EFFICIENCY AND UNIFORMITY DIFFUSER AND ANTI AGING TRAIT HOUSING","","L5B_WP","",""
"Lighting Fixtures","","","ACM_LIGT_ExitSignNoArrow","[2363575]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_ExitSignNoArrow","[2363768]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_ExitSignNoArrow","[2363864]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_ExitSignNoArrow","[2363902]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_ExitSignNoArrow","[2364093]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_ExitSignNoArrow","[2364650]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_ExitSignNoArrow","[3529943]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_ExitSignNoArrow","[4240217]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_ExitSignNoArrow","[4492630]","","","","","","","",""
"Lighting Fixtures","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","ACM_1200mm 34W_WP (L1)","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","[3307094]","","","","","ACM_1200mm 34W_WP (L1)","",""
"Lighting Fixtures","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","ACM_1200mm 34W_WP (L1)","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","[3309162]","","","","","ACM_1200mm 34W_WP (L1)","",""
"Lighting Fixtures","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","ACM_1200mm 34W_WP (L1)","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","[3309262]","","","","","ACM_1200mm 34W_WP (L1)","",""
"Lighting Fixtures","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","ACM_1200mm 34W_WP (L1)","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","[3309282]","","","","","ACM_1200mm 34W_WP (L1)","",""
"Lighting Fixtures","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","ACM_1200mm 34W_WP (L1)","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","[3309290]","","","","","ACM_1200mm 34W_WP (L1)","",""
"Lighting Fixtures","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","ACM_1200mm 34W_WP (L1)","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","[3309344]","","","","","ACM_1200mm 34W_WP (L1)","",""
"Lighting Fixtures","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","ACM_1200mm 34W_WP (L1)","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","[3309434]","","","","","ACM_1200mm 34W_WP (L1)","",""
"Lighting Fixtures","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","ACM_1200mm 34W_WP (L1)","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","[3309435]","","","","","ACM_1200mm 34W_WP (L1)","",""
"Lighting Fixtures","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","ACM_1200mm 34W_WP (L1)","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","[3309437]","","","","","ACM_1200mm 34W_WP (L1)","",""
"Lighting Fixtures","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","ACM_1200mm 34W_WP (L1)","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","[3309840]","","","","","ACM_1200mm 34W_WP (L1)","",""
"Lighting Fixtures","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","ACM_1200mm 34W_WP (L1)","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","[3315669]","","","","","ACM_1200mm 34W_WP (L1)","",""
"Lighting Fixtures","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","ACM_1200mm 34W_WP (L1)","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","[3316467]","","","","","ACM_1200mm 34W_WP (L1)","",""
"Lighting Fixtures","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","ACM_1200mm 34W_WP (L1)","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","[3316788]","","","","","ACM_1200mm 34W_WP (L1)","",""
"Lighting Fixtures","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","ACM_1200mm 34W_WP (L1)","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","[3316818]","","","","","ACM_1200mm 34W_WP (L1)","",""
