"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Electrical Equipment","ACM_ELEC_DB","DB-SS","ACM_ELEC_DB","[3315249]","","","","","DB-SS","",""
"Lighting Fixtures","WT188C LED40 NW L1200 PSD(Wall Mount)","1x34W LED Batten(W/P)","WT188C LED40 NW L1200 PSD(Wall Mount)","[4254742]","","","","","1x34W LED Batten(W/P)","",""
"Lighting Fixtures","WT188C LED40 NW L1200 PSD(Wall Mount)","1x34W LED Batten(W/P)","WT188C LED40 NW L1200 PSD(Wall Mount)","[4255103]","","","","","1x34W LED Batten(W/P)","",""
"Lighting Fixtures","ACM_LIGT_Emergency Wall Light","Weather Proof","ACM_LIGT_Emergency Wall Light","[1271976]","","","","","Weather Proof","","Metal - Paint Finish - Ivory, Glossy"
"Lighting Fixtures","ACM_LIGT_Emergency Wall Light","Weather Proof","ACM_LIGT_Emergency Wall Light","[1701474]","","","","","Weather Proof","","Metal - Paint Finish - Ivory, Glossy"
"Lighting Fixtures","ACM_LIGT_Emergency Wall Light","Weather Proof","ACM_LIGT_Emergency Wall Light","[4322821]","","","","","Weather Proof","","Metal - Paint Finish - Ivory, Glossy"
"Lighting Fixtures","ACM_LIGT_Emergency Wall Light","Weather Proof","ACM_LIGT_Emergency Wall Light","[4502931]","","","","","Weather Proof","","Metal - Paint Finish - Ivory, Glossy"
"Lighting Fixtures","ACM_LIGT_Emergency Wall Light","Weather Proof","ACM_LIGT_Emergency Wall Light","[4503340]","","","","","Weather Proof","","Metal - Paint Finish - Ivory, Glossy"
"Lighting Fixtures","ACM_LIGT_Emergency Wall Light","Weather Proof","ACM_LIGT_Emergency Wall Light","[4503448]","","","","","Weather Proof","","Metal - Paint Finish - Ivory, Glossy"
"Lighting Fixtures","ACM_LIGT_Emergency Wall Light","Weather Proof","ACM_LIGT_Emergency Wall Light","[4503578]","","","","","Weather Proof","","Metal - Paint Finish - Ivory, Glossy"
"Lighting Fixtures","ACM_LIGT_Emergency Wall Light","Weather Proof","ACM_LIGT_Emergency Wall Light","[4503638]","","","","","Weather Proof","","Metal - Paint Finish - Ivory, Glossy"
"Lighting Fixtures","ACM_LIGT_Emergency Wall Light","Weather Proof","ACM_LIGT_Emergency Wall Light","[4504166]","","","","","Weather Proof","","Metal - Paint Finish - Ivory, Glossy"
"Lighting Fixtures","ACM_LIGT_Emergency Wall Light","Weather Proof","ACM_LIGT_Emergency Wall Light","[4504426]","","","","","Weather Proof","","Metal - Paint Finish - Ivory, Glossy"
"Lighting Fixtures","ACM_LIGT_Emergency Wall Light","Weather Proof","ACM_LIGT_Emergency Wall Light","[4504438]","","","","","Weather Proof","","Metal - Paint Finish - Ivory, Glossy"
"Lighting Fixtures","ACM_LIGT_LED Linear-Wall Mounted 1200","ACM_1200mm 34W_WP EB (L1)","ACM_LIGT_LED Linear-Wall Mounted 1200","[1225086]","","","","","ACM_1200mm 34W_WP EB (L1)","",""
"Lighting Fixtures","","","ACM_LIGT_Emergency Lighting-Surface Mounted","[1645238]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Emergency Lighting-Surface Mounted","[1645248]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Emergency Lighting-Surface Mounted","[3830903]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Emergency Lighting-Surface Mounted","[3830911]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Emergency Lighting-Surface Mounted","[3831034]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Emergency Lighting-Surface Mounted","[3831132]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Emergency Lighting-Surface Mounted","[3831140]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Emergency Lighting-Surface Mounted","[3831269]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Emergency Lighting-Surface Mounted","[3831277]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Emergency Lighting-Surface Mounted with rod","[1642275]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Emergency Lighting-Surface Mounted with rod","[1642323]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Emergency Lighting-Surface Mounted with rod","[1642335]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Emergency Lighting-Surface Mounted with rod","[1642347]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Emergency Lighting-Surface Mounted with rod","[1975991]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Emergency Lighting-Surface Mounted with rod","[4291448]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Emergency Lighting-Surface Mounted with rod","[4291458]","","","","","","","",""
"Lighting Fixtures","","","DL1","[4278753]","","","","","","","",""
"Lighting Fixtures","","","DL1","[4278937]","","","","","","","",""
"Lighting Fixtures","","","DL1","[4278964]","","","","","","","",""
"Lighting Fixtures","","","DL1","[4279100]","","","","","","","",""
"Lighting Fixtures","","","DL1","[4279108]","","","","","","","",""
"Lighting Fixtures","","","DL1","[4279118]","","","","","","","",""
"Lighting Fixtures","","","DL1","[4340120]","","","","","","","",""
"Lighting Fixtures","","","DL1","[4358395]","","","","","","","",""
"Lighting Fixtures","ACM_LTG_Exterior Lighting_Wall Mounted","L5B_WP","ACM_LTG_Exterior Lighting_Wall Mounted","[4500413]","","","30W LED LAMP SURFACED MOUNTED WEATHERPROOF FITTING WITH HIGH LIGHT EFFICIENCY AND UNIFORMITY DIFFUSER AND ANTI AGING TRAIT HOUSING","","L5B_WP","",""
"Lighting Fixtures","ACM_LTG_Exterior Lighting_Wall Mounted","L5B_WP","ACM_LTG_Exterior Lighting_Wall Mounted","[4500670]","","","30W LED LAMP SURFACED MOUNTED WEATHERPROOF FITTING WITH HIGH LIGHT EFFICIENCY AND UNIFORMITY DIFFUSER AND ANTI AGING TRAIT HOUSING","","L5B_WP","",""
"Lighting Fixtures","ACM_LTG_Exterior Lighting_Wall Mounted","L5B_WP","ACM_LTG_Exterior Lighting_Wall Mounted","[4500678]","","","30W LED LAMP SURFACED MOUNTED WEATHERPROOF FITTING WITH HIGH LIGHT EFFICIENCY AND UNIFORMITY DIFFUSER AND ANTI AGING TRAIT HOUSING","","L5B_WP","",""
"Lighting Fixtures","ACM_LTG_Exterior Lighting_Wall Mounted","L5B_WP","ACM_LTG_Exterior Lighting_Wall Mounted","[4500694]","","","30W LED LAMP SURFACED MOUNTED WEATHERPROOF FITTING WITH HIGH LIGHT EFFICIENCY AND UNIFORMITY DIFFUSER AND ANTI AGING TRAIT HOUSING","","L5B_WP","",""
"Lighting Fixtures","ACM_LTG_Exterior Lighting_Wall Mounted","L5B_WP","ACM_LTG_Exterior Lighting_Wall Mounted","[4500704]","","","30W LED LAMP SURFACED MOUNTED WEATHERPROOF FITTING WITH HIGH LIGHT EFFICIENCY AND UNIFORMITY DIFFUSER AND ANTI AGING TRAIT HOUSING","","L5B_WP","",""
"Lighting Fixtures","ACM_LTG_Exterior Lighting_Wall Mounted","L5B_WP","ACM_LTG_Exterior Lighting_Wall Mounted","[4500716]","","","30W LED LAMP SURFACED MOUNTED WEATHERPROOF FITTING WITH HIGH LIGHT EFFICIENCY AND UNIFORMITY DIFFUSER AND ANTI AGING TRAIT HOUSING","","L5B_WP","",""
"Lighting Fixtures","ACM_LTG_Exterior Lighting_Wall Mounted","L5B_WP","ACM_LTG_Exterior Lighting_Wall Mounted","[4500728]","","","30W LED LAMP SURFACED MOUNTED WEATHERPROOF FITTING WITH HIGH LIGHT EFFICIENCY AND UNIFORMITY DIFFUSER AND ANTI AGING TRAIT HOUSING","","L5B_WP","",""
"Lighting Fixtures","ACM_LTG_Exterior Lighting_Wall Mounted","L5B_WP","ACM_LTG_Exterior Lighting_Wall Mounted","[4500736]","","","30W LED LAMP SURFACED MOUNTED WEATHERPROOF FITTING WITH HIGH LIGHT EFFICIENCY AND UNIFORMITY DIFFUSER AND ANTI AGING TRAIT HOUSING","","L5B_WP","",""
"Lighting Fixtures","ACM_LTG_Exterior Lighting_Wall Mounted","L5B_WP","ACM_LTG_Exterior Lighting_Wall Mounted","[4500819]","","","30W LED LAMP SURFACED MOUNTED WEATHERPROOF FITTING WITH HIGH LIGHT EFFICIENCY AND UNIFORMITY DIFFUSER AND ANTI AGING TRAIT HOUSING","","L5B_WP","",""
"Lighting Fixtures","ACM_LTG_Exterior Lighting_Wall Mounted","L5B_WP","ACM_LTG_Exterior Lighting_Wall Mounted","[4500827]","","","30W LED LAMP SURFACED MOUNTED WEATHERPROOF FITTING WITH HIGH LIGHT EFFICIENCY AND UNIFORMITY DIFFUSER AND ANTI AGING TRAIT HOUSING","","L5B_WP","",""
"Lighting Fixtures","ACM_LTG_Exterior Lighting_Wall Mounted","L5B_WP","ACM_LTG_Exterior Lighting_Wall Mounted","[4500899]","","","30W LED LAMP SURFACED MOUNTED WEATHERPROOF FITTING WITH HIGH LIGHT EFFICIENCY AND UNIFORMITY DIFFUSER AND ANTI AGING TRAIT HOUSING","","L5B_WP","",""
"Lighting Fixtures","ACM_LTG_Exterior Lighting_Wall Mounted","L5B_WP","ACM_LTG_Exterior Lighting_Wall Mounted","[4500949]","","","30W LED LAMP SURFACED MOUNTED WEATHERPROOF FITTING WITH HIGH LIGHT EFFICIENCY AND UNIFORMITY DIFFUSER AND ANTI AGING TRAIT HOUSING","","L5B_WP","",""
"Lighting Fixtures","ACM_LTG_Exterior Lighting_Wall Mounted","L5B_WP","ACM_LTG_Exterior Lighting_Wall Mounted","[4500959]","","","30W LED LAMP SURFACED MOUNTED WEATHERPROOF FITTING WITH HIGH LIGHT EFFICIENCY AND UNIFORMITY DIFFUSER AND ANTI AGING TRAIT HOUSING","","L5B_WP","",""
"Lighting Fixtures","ACM_LTG_Exterior Lighting_Wall Mounted","L5A_WP","ACM_LTG_Exterior Lighting_Wall Mounted","[4500999]","","","30W LED LAMP SURFACED MOUNTED WEATHERPROOF FITTING WITH HIGH LIGHT EFFICIENCY AND UNIFORMITY DIFFUSER AND ANTI AGING TRAIT HOUSING","","L5A_WP","",""
"Lighting Fixtures","ACM_LTG_Exterior Lighting_Wall Mounted","L5A_WP","ACM_LTG_Exterior Lighting_Wall Mounted","[4501197]","","","30W LED LAMP SURFACED MOUNTED WEATHERPROOF FITTING WITH HIGH LIGHT EFFICIENCY AND UNIFORMITY DIFFUSER AND ANTI AGING TRAIT HOUSING","","L5A_WP","",""
"Lighting Fixtures","ACM_LTG_Exterior Lighting_Wall Mounted","L5A_WP","ACM_LTG_Exterior Lighting_Wall Mounted","[4501205]","","","30W LED LAMP SURFACED MOUNTED WEATHERPROOF FITTING WITH HIGH LIGHT EFFICIENCY AND UNIFORMITY DIFFUSER AND ANTI AGING TRAIT HOUSING","","L5A_WP","",""
"Lighting Fixtures","ACM_LTG_Exterior Lighting_Wall Mounted","L5A_WP","ACM_LTG_Exterior Lighting_Wall Mounted","[4501215]","","","30W LED LAMP SURFACED MOUNTED WEATHERPROOF FITTING WITH HIGH LIGHT EFFICIENCY AND UNIFORMITY DIFFUSER AND ANTI AGING TRAIT HOUSING","","L5A_WP","",""
"Lighting Fixtures","ACM_LTG_Exterior Lighting_Wall Mounted","L5A_WP","ACM_LTG_Exterior Lighting_Wall Mounted","[4501227]","","","30W LED LAMP SURFACED MOUNTED WEATHERPROOF FITTING WITH HIGH LIGHT EFFICIENCY AND UNIFORMITY DIFFUSER AND ANTI AGING TRAIT HOUSING","","L5A_WP","",""
"Lighting Fixtures","ACM_LTG_Exterior Lighting_Wall Mounted","L5A_WP","ACM_LTG_Exterior Lighting_Wall Mounted","[4501235]","","","30W LED LAMP SURFACED MOUNTED WEATHERPROOF FITTING WITH HIGH LIGHT EFFICIENCY AND UNIFORMITY DIFFUSER AND ANTI AGING TRAIT HOUSING","","L5A_WP","",""
"Lighting Fixtures","ACM_LIGT_LED Covelight2","ACM_600mm","ACM_LIGT_LED Covelight2","[1780252]","","","","","ACM_600mm","",""
"Lighting Fixtures","ACM_LIGT_LED Covelight2","ACM_1200mm","ACM_LIGT_LED Covelight2","[1780253]","","","","","ACM_1200mm","",""
"Lighting Fixtures","ACM_LIGT_LED Covelight2","ACM_1200mm","ACM_LIGT_LED Covelight2","[1780254]","","","","","ACM_1200mm","",""
"Lighting Fixtures","ACM_LIGT_LED Covelight2","ACM_1200mm","ACM_LIGT_LED Covelight2","[1780255]","","","","","ACM_1200mm","",""
"Lighting Fixtures","ACM_LIGT_LED Covelight2","ACM_1200mm","ACM_LIGT_LED Covelight2","[1780256]","","","","","ACM_1200mm","",""
"Lighting Fixtures","","","ACM_LIGT_ExitSignNoArrow","[1960122]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_ExitSignNoArrow","[2365111]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_ExitSignNoArrow","[2365228]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_ExitSignNoArrow","[2365295]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_ExitSignNoArrow","[2365398]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_ExitSignNoArrow","[2365607]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_ExitSignNoArrow","[2365689]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_ExitSignNoArrow","[2365711]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_ExitSignNoArrow","[2365742]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_ExitSignNoArrow","[2365772]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_ExitSignNoArrow","[4504485]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_ExitSignNoArrow","[4504493]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_ExitSignNoArrow","[4506454]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_ExitSignLeft","[2364320]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_ExitSignRight","[2364965]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_ExitSignRight","[2365798]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_ExitSignRight","[4303160]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_ExitSignRight","[4303303]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_ExitSignRight","[4506359]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Recessed LED Lighting(600x600)","[4500263]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Recessed LED Lighting(600x600)","[4500275]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Recessed LED Lighting(600x600)","[4500317]","","","","","","","",""
"Lighting Fixtures","2x8W Up Down Light","UP DOWN LIGHT","2x8W Up Down Light","[4310730]","","","30W LED LAMP SURFACED MOUNTED WEATHERPROOF FITTING WITH HIGH LIGHT EFFICIENCY AND UNIFORMITY DIFFUSER AND ANTI AGING TRAIT HOUSING","","UP DOWN LIGHT","",""
"Lighting Fixtures","2x8W Up Down Light","UP DOWN LIGHT","2x8W Up Down Light","[4310956]","","","30W LED LAMP SURFACED MOUNTED WEATHERPROOF FITTING WITH HIGH LIGHT EFFICIENCY AND UNIFORMITY DIFFUSER AND ANTI AGING TRAIT HOUSING","","UP DOWN LIGHT","",""
"Lighting Fixtures","2x8W Up Down Light","UP DOWN LIGHT","2x8W Up Down Light","[4311135]","","","30W LED LAMP SURFACED MOUNTED WEATHERPROOF FITTING WITH HIGH LIGHT EFFICIENCY AND UNIFORMITY DIFFUSER AND ANTI AGING TRAIT HOUSING","","UP DOWN LIGHT","",""
"Lighting Fixtures","2x8W Up Down Light","UP DOWN LIGHT","2x8W Up Down Light","[4311140]","","","30W LED LAMP SURFACED MOUNTED WEATHERPROOF FITTING WITH HIGH LIGHT EFFICIENCY AND UNIFORMITY DIFFUSER AND ANTI AGING TRAIT HOUSING","","UP DOWN LIGHT","",""
"Lighting Fixtures","2x8W Up Down Light","UP DOWN LIGHT","2x8W Up Down Light","[4311384]","","","30W LED LAMP SURFACED MOUNTED WEATHERPROOF FITTING WITH HIGH LIGHT EFFICIENCY AND UNIFORMITY DIFFUSER AND ANTI AGING TRAIT HOUSING","","UP DOWN LIGHT","",""
"Lighting Fixtures","2x8W Up Down Light","UP DOWN LIGHT","2x8W Up Down Light","[4502969]","","","30W LED LAMP SURFACED MOUNTED WEATHERPROOF FITTING WITH HIGH LIGHT EFFICIENCY AND UNIFORMITY DIFFUSER AND ANTI AGING TRAIT HOUSING","","UP DOWN LIGHT","",""
"Lighting Fixtures","2x8W Up Down Light","UP DOWN LIGHT","2x8W Up Down Light","[4503038]","","","30W LED LAMP SURFACED MOUNTED WEATHERPROOF FITTING WITH HIGH LIGHT EFFICIENCY AND UNIFORMITY DIFFUSER AND ANTI AGING TRAIT HOUSING","","UP DOWN LIGHT","",""
"Lighting Fixtures","BN398C LED40 PSD(L1)","1x31W LED Batten","BN398C LED40 PSD(L1)","[3887387]","","","","","1x31W LED Batten","",""
"Lighting Fixtures","BN398C LED40 PSD(L1)","1x31W LED Batten","BN398C LED40 PSD(L1)","[3887757]","","","","","1x31W LED Batten","",""
"Lighting Fixtures","BN398C LED40 PSD(L1)","1x31W LED Batten","BN398C LED40 PSD(L1)","[3887765]","","","","","1x31W LED Batten","",""
"Lighting Fixtures","BN398C LED40 PSD(L1)","1x31W LED Batten","BN398C LED40 PSD(L1)","[3888090]","","","","","1x31W LED Batten","",""
"Lighting Fixtures","BN398C LED40 PSD(L1)","1x31W LED Batten","BN398C LED40 PSD(L1)","[3888100]","","","","","1x31W LED Batten","",""
"Lighting Fixtures","BN398C LED40 PSD(L1)","1x31W LED Batten","BN398C LED40 PSD(L1)","[3888114]","","","","","1x31W LED Batten","",""
"Lighting Fixtures","WT188C LED20 NW L1200 PSD(Wall Mount)","1x16W LED Batten(W/P)","WT188C LED20 NW L1200 PSD(Wall Mount)","[4311803]","","","","","1x16W LED Batten(W/P)","",""
"Lighting Fixtures","WT188C LED20 NW L1200 PSD(Wall Mount)","1x16W LED Batten(W/P)","WT188C LED20 NW L1200 PSD(Wall Mount)","[4312033]","","","","","1x16W LED Batten(W/P)","",""
"Lighting Fixtures","WT188C LED20 NW L1200 PSD(Wall Mount)","1x16W LED Batten(W/P)","WT188C LED20 NW L1200 PSD(Wall Mount)","[4312041]","","","","","1x16W LED Batten(W/P)","",""
"Lighting Fixtures","WT188C LED20 NW L1200 PSD(Wall Mount)","1x16W LED Batten(W/P)","WT188C LED20 NW L1200 PSD(Wall Mount)","[4312053]","","","","","1x16W LED Batten(W/P)","",""
"Lighting Fixtures","WT188C LED20 NW L1200 PSD(Wall Mount)","1x16W LED Batten(W/P)","WT188C LED20 NW L1200 PSD(Wall Mount)","[4312061]","","","","","1x16W LED Batten(W/P)","",""
"Lighting Fixtures","WT188C LED20 NW L1200 PSD(Wall Mount)","1x16W LED Batten(W/P)","WT188C LED20 NW L1200 PSD(Wall Mount)","[4312071]","","","","","1x16W LED Batten(W/P)","",""
"Lighting Fixtures","WT188C LED20 NW L1200 PSD(Wall Mount)","1x16W LED Batten(W/P)","WT188C LED20 NW L1200 PSD(Wall Mount)","[4312119]","","","","","1x16W LED Batten(W/P)","",""
"Lighting Fixtures","WT188C LED20 NW L1200 PSD(Wall Mount)","1x16W LED Batten(W/P)","WT188C LED20 NW L1200 PSD(Wall Mount)","[4312329]","","","","","1x16W LED Batten(W/P)","",""
"Lighting Fixtures","WT188C LED20 NW L1200 PSD(Wall Mount)","1x16W LED Batten(W/P)","WT188C LED20 NW L1200 PSD(Wall Mount)","[4312383]","","","","","1x16W LED Batten(W/P)","",""
"Lighting Fixtures","WT188C LED20 NW L1200 PSD(Wall Mount)","1x16W LED Batten(W/P)","WT188C LED20 NW L1200 PSD(Wall Mount)","[4312491]","","","","","1x16W LED Batten(W/P)","",""
"Lighting Fixtures","WT188C LED20 NW L1200 PSD(Wall Mount)","1x16W LED Batten(W/P)","WT188C LED20 NW L1200 PSD(Wall Mount)","[4312654]","","","","","1x16W LED Batten(W/P)","",""
"Lighting Fixtures","WT188C LED20 NW L1200 PSD(Wall Mount)","1x16W LED Batten(W/P)","WT188C LED20 NW L1200 PSD(Wall Mount)","[4312769]","","","","","1x16W LED Batten(W/P)","",""
"Lighting Fixtures","WT188C LED20 NW L1200 PSD(Wall Mount)","1x16W LED Batten(W/P)","WT188C LED20 NW L1200 PSD(Wall Mount)","[4312829]","","","","","1x16W LED Batten(W/P)","",""
"Lighting Fixtures","WT188C LED20 NW L1200 PSD(Wall Mount)","1x16W LED Batten(W/P)","WT188C LED20 NW L1200 PSD(Wall Mount)","[4312948]","","","","","1x16W LED Batten(W/P)","",""
"Lighting Fixtures","WT188C LED20 NW L1200 PSD(Wall Mount)","1x16W LED Batten(W/P)","WT188C LED20 NW L1200 PSD(Wall Mount)","[4313019]","","","","","1x16W LED Batten(W/P)","",""
"Lighting Fixtures","WT188C LED20 NW L1200 PSD(Wall Mount)","1x16W LED Batten(W/P)","WT188C LED20 NW L1200 PSD(Wall Mount)","[4322909]","","","","","1x16W LED Batten(W/P)","",""
"Lighting Fixtures","WT188C LED20 NW L1200 PSD(Wall Mount)","1x16W LED Batten(W/P)","WT188C LED20 NW L1200 PSD(Wall Mount)","[4323005]","","","","","1x16W LED Batten(W/P)","",""
"Lighting Fixtures","","","DL3","[4291597]","","","","","","","",""
"Lighting Fixtures","","","DL3","[4291608]","","","","","","","",""
"Lighting Fixtures","","","DL3","[4291613]","","","","","","","",""
"Lighting Fixtures","","","DL3","[4291618]","","","","","","","",""
"Lighting Fixtures","","","DL3","[4291623]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4304202]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4304343]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4304355]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4304373]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4304381]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4304389]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4304397]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4304407]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4304415]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4304427]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4304437]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4304447]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4304455]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4304463]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4304471]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4304479]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4304487]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4304551]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4340281]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4340422]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4340506]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4503126]","","","","","","","",""
"Lighting Fixtures","L2(600mm)","8W LED L2","L2(600mm)","[4166778]","","","","","8W LED L2","",""
"Lighting Fixtures","L2(600mm)","8W LED L2","L2(600mm)","[4166890]","","","","","8W LED L2","",""
"Lighting Fixtures","L2(600mm)","8W LED L2","L2(600mm)","[4292386]","","","","","8W LED L2","",""
"Lighting Fixtures","L2(600mm)","8W LED L2","L2(600mm)","[4292387]","","","","","8W LED L2","",""
"Lighting Fixtures","L2(600mm)","8W LED L2","L2(600mm)","[4292518]","","","","","8W LED L2","",""
"Lighting Fixtures","L2(600mm)","8W LED L2","L2(600mm)","[4292519]","","","","","8W LED L2","",""
"Lighting Fixtures","L2(600mm)","8W LED L2","L2(600mm)","[4322150]","","","","","8W LED L2","",""
"Lighting Fixtures","L2(1200mm)","14W LED L2","L2(1200mm)","[4292385]","","","","","14W LED L2","",""
"Lighting Fixtures","L2(1200mm)","14W LED L2","L2(1200mm)","[4292486]","","","","","14W LED L2","",""
"Lighting Fixtures","L2(1200mm)","14W LED L2","L2(1200mm)","[4293615]","","","","","14W LED L2","",""
"Lighting Fixtures","L2(1200mm)","14W LED L2","L2(1200mm)","[4293640]","","","","","14W LED L2","",""
"Lighting Fixtures","L2(1200mm)","14W LED L2","L2(1200mm)","[4293687]","","","","","14W LED L2","",""
"Lighting Fixtures","L2(1200mm)","14W LED L2","L2(1200mm)","[4293734]","","","","","14W LED L2","",""
"Lighting Fixtures","L2(1200mm)","14W LED L2","L2(1200mm)","[4293803]","","","","","14W LED L2","",""
"Lighting Fixtures","L2(1200mm)","14W LED L2","L2(1200mm)","[4321913]","","","","","14W LED L2","",""
"Lighting Fixtures","L2(1200mm)","14W LED L2","L2(1200mm)","[4322404]","","","","","14W LED L2","",""
"Lighting Fixtures","L2(1200mm)","14W LED L2","L2(1200mm)","[4322464]","","","","","14W LED L2","",""
"Lighting Fixtures","L2(1200mm)","14W LED L2","L2(1200mm)","[4501500]","","","","","14W LED L2","",""
"Lighting Fixtures","L2(1200mm)","14W LED L2","L2(1200mm)","[4501564]","","","","","14W LED L2","",""
"Lighting Fixtures","L2(1200mm)","14W LED L2","L2(1200mm)","[4501697]","","","","","14W LED L2","",""
"Lighting Fixtures","L2(1200mm)","8W LED L2","L2(1200mm)","[4292487]","","","","","8W LED L2","",""
"Lighting Fixtures","","","2x14W LED (L2)","[4314875]","","","","","","","",""
"Lighting Fixtures","","","2x14W LED (L2)","[4314941]","","","","","","","",""
"Lighting Fixtures","","","2x14W LED (L2)","[4314961]","","","","","","","",""
"Lighting Fixtures","","","2x14W LED (L2)","[4314997]","","","","","","","",""
"Lighting Fixtures","","","2x14W LED (L2)","[4315007]","","","","","","","",""
"Lighting Fixtures","","","2x14W LED (L2)","[4506196]","","","","","","","",""
"Lighting Fixtures","","","2x14W LED (L2)","[4506291]","","","","","","","",""
"Lighting Fixtures","","","2x14W LED (L2)","[4314921]","","","","","","","",""
"Lighting Fixtures","","","2x14W LED (L2)","[4314931]","","","","","","","",""
"Lighting Fixtures","","","2x14W LED (L2)","[4314951]","","","","","","","",""
"Lighting Fixtures","","","2x14W LED (L2)","[4314989]","","","","","","","",""
"Lighting Fixtures","","","2x14W LED (L2)","[4386208]","","","","","","","",""
"Lighting Fixtures","","","2x14W LED (L2)","[4386232]","","","","","","","",""
"Lighting Fixtures","","","2x14W LED Wall Mounted(L2)","[4314485]","","","","","","","",""
"Lighting Fixtures","","","2x14W LED Wall Mounted(L2)","[4314584]","","","","","","","",""
"Lighting Fixtures","","","2x14W LED Wall Mounted(L2)","[4314657]","","","","","","","",""
"Lighting Fixtures","","","2x14W LED Wall Mounted(L2)","[4314557]","","","","","","","",""
"Lighting Fixtures","","","2x14W LED Wall Mounted(L2)","[4314598]","","","","","","","",""
"Lighting Fixtures","","","2x14W LED Wall Mounted(L2)","[4314719]","","","","","","","",""
"Lighting Fixtures","","","DL-5","[4280259]","","","","","","","",""
"Lighting Fixtures","","","DL-5","[4280278]","","","","","","","",""
"Lighting Fixtures","","","DL-5","[4280286]","","","","","","","",""
"Lighting Fixtures","","","DL-5","[4280294]","","","","","","","",""
"Lighting Fixtures","L2 SUSPENDED","14W LED L2","L2 SUSPENDED","[4296557]","","","","","14W LED L2","",""
"Lighting Fixtures","L2 SUSPENDED","14W LED L2","L2 SUSPENDED","[4302794]","","","","","14W LED L2","",""
"Lighting Devices","","","ACM_LIGT_MotionSensor_Dome with rod","[1975690]","","","","","","","",""
"Lighting Devices","","","ACM_LIGT_MotionSensor_Dome with rod","[1975737]","","","","","","","",""
