"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Floors","Floor","Internal Road (Tarmac)","Floor","[789241]","","","","","Internal Road (Tarmac)","Tarmac Road",""
"Floors","Floor","Internal Road (Tarmac)","Floor","[791933]","","","","","Internal Road (Tarmac)","Tarmac Road",""
"Floors","Floor","Internal Road (Tarmac)","Floor","[794465]","","","","","Internal Road (Tarmac)","Tarmac Road",""
"Floors","Floor","Internal Road (Tarmac)","Floor","[3771703]","","","","","Internal Road (Tarmac)","Tarmac Road",""
"Floors","Floor","Internal Road (Tarmac)","Floor","[5653267]","","","","","Internal Road (Tarmac)","Tarmac Road",""
"Floors","Floor","Internal Road (Tarmac)","Floor","[5653476]","","","","","Internal Road (Tarmac)","Tarmac Road",""
"Floors","Floor","Internal Road (Tarmac)","Floor","[5653540]","","","","","Internal Road (Tarmac)","Tarmac Road",""
"Floors","Floor","Internal Road (Tarmac)","Floor","[5653627]","","","","","Internal Road (Tarmac)","Tarmac Road",""
"Floors","Floor","Turfing","Floor","[803002]","","","","","Turfing","<By Category>",""
"Floors","Floor","Turfing","Floor","[803742]","","","","","Turfing","<By Category>",""
"Floors","Floor","Turfing","Floor","[5652766]","","","","","Turfing","<By Category>",""
"Floors","Floor","Turfing","Floor","[5652910]","","","","","Turfing","<By Category>",""
"Floors","Floor","Turfing","Floor","[5737934]","","","","","Turfing","<By Category>",""
"Floors","Floor","Footpath (Concrete Screed)","Floor","[3432995]","","","","","Footpath (Concrete Screed)","Concrete - Cast In Situ",""
"Floors","Floor","Footpath (Concrete Screed)","Floor","[5652762]","","","","","Footpath (Concrete Screed)","Concrete - Cast In Situ",""
"Floors","Floor","Footpath (Concrete Screed)","Floor","[5652898]","","","","","Footpath (Concrete Screed)","Concrete - Cast In Situ",""
"Floors","Floor","K2 Kerb (Concrete Screed)","Floor","[5662901]","","","","","K2 Kerb (Concrete Screed)","Concrete - Cast In Situ",""
"Floors","Floor","K2 Kerb (Concrete Screed)","Floor","[5663114]","","","","","K2 Kerb (Concrete Screed)","Concrete - Cast In Situ",""
"Floors","Floor","K2 Kerb (Concrete Screed)","Floor","[5680345]","","","","","K2 Kerb (Concrete Screed)","Concrete - Cast In Situ",""
"Floors","Floor","K2 Kerb (Concrete Screed)","Floor","[5692293]","","","","","K2 Kerb (Concrete Screed)","Concrete - Cast In Situ",""
"Floors","Floor","K2 Kerb (Concrete Screed)","Floor","[5737769]","","","","","K2 Kerb (Concrete Screed)","Concrete - Cast In Situ",""
"Floors","Floor","Footpath (Concrete Screed)_150mm","Floor","[5663377]","","","","","Footpath (Concrete Screed)_150mm","Concrete - Cast In Situ",""
"Floors","Floor","Footpath (Concrete Screed)_150mm","Floor","[5663421]","","","","","Footpath (Concrete Screed)_150mm","Concrete - Cast In Situ",""
"Floors","Floor","Footpath (Concrete Screed)_150mm","Floor","[5663477]","","","","","Footpath (Concrete Screed)_150mm","Concrete - Cast In Situ",""
"Floors","Floor","Internal Road (Tarmac) 2","Floor","[5736753]","","","","","Internal Road (Tarmac) 2","Tarmac Road",""
"Floors","Floor","Footpath (Concrete Screed) 2","Floor","[5738060]","","","","","Footpath (Concrete Screed) 2","Concrete - Cast In Situ",""
"Floors","Floor","Footpath (Concrete Screed) 2","Floor","[5738292]","","","","","Footpath (Concrete Screed) 2","Concrete - Cast In Situ",""
"Generic Models","","","PD_Drain Cover","[5677544]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5677579]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5677614]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5677649]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5677684]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5677719]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5677754]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5677789]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5677802]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5677851]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5677901]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5677922]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5677943]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5678557]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5678651]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5678704]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5678730]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5678733]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5678826]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5678873]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5678899]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5678911]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5678991]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5679041]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5679067]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5679070]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5679403]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5679466]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5679492]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5679518]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5679544]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5679570]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5679677]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5679763]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5679810]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5679831]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5679835]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5679869]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5679925]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5679946]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5679967]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5679988]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5680075]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5738119]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5738121]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5738123]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5738125]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5738344]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5738346]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5738348]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5738350]","","","","","","","",""
"Generic Models","","","PD_Tactile","[5687957]","","","","","","","",""
"Generic Models","","","PD_Tactile","[5688604]","","","","","","","",""
"Generic Models","","","PD_Tactile","[5688835]","","","","","","","",""
"Generic Models","","","PD_Tactile","[5688949]","","","","","","","",""
"Generic Models","","","PD_Tactile","[5689005]","","","","","","","",""
"Generic Models","","","PD_Tactile","[5689030]","","","","","","","",""
"Generic Models","","","PD_Tactile","[5689061]","","","","","","","",""
"Generic Models","","","PD_Tactile","[5691673]","","","","","","","",""
"Generic Models","","","PD_Tactile","[5692014]","","","","","","","",""
"Generic Models","","","PD_Tactile","[5726176]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5693809]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5693847]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5693898]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5696400]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5696520]","","","","","","","",""
