Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material,Category
Pipes,Pipe Types,FF-uPVC Pipe (JISK 6741),Pipe Types,,,"Pipes inclusive of neccesary fittings, brackets, bends, elbows, hangers, supports, wall chasing, paiting,...",,FF-uPVC Pipe (JISK 6741),,<By Category>,
Pipes,Pipe Types,FF-uPVC Pipe (JISK 6741),Pipe Types,,,"Pipes inclusive of neccesary fittings, brackets, bends, elbows, hangers, supports, wall chasing, paiting,...",,,,<By Category>,
Plumbing Fixtures,FF-CO-50,CO-50,FF-CO-50,,,,,CO-50,,uPVC,
Plumbing Fixtures,FF-Arteco-S,Arteco-S,FF-Arteco-S,,,,,Arteco-S,,Stainless steel and aluminum alloy,
Plumbing Fixtures,FF-Primo-150,Primo-150,FF-Primo-150,,,,,Primo-150,,Stainless steel and aluminum alloy,
Plumbing Fixtures,FF-Primo-75,Primo-75,FF-Primo-75,,,,,Primo-75,,Stainless steel and aluminum alloy,
Plumbing Fixtures,FF-Primo-100,Primo-100,FF-Primo-100,,,,,Primo-100,,Stainless steel and aluminum alloy,
Plumbing Fixtures,FF-Piccolo-50-RC,Piccolo-50 RC,FF-Piccolo-50-RC,,,,,Piccolo-50 RC,,Stainless steel and aluminum alloy,
Plumbing Fixtures,FF-CO-100,CO-100,FF-CO-100,,,,,CO-100,,uPVC,
Plumbing Fixtures,FF-CO-75,CO-75,FF-CO-75,,,,,CO-75,,uPVC,
Walls,Basic Wall,TS_150mm Thk. PC Non-Structural Wall,Basic Wall,,,WALL : 150mm Thk. Precast Non-Structural Wall,(BS 3.2) Precast Concrete Wall with Skim Coat,TS_150mm Thk. PC Non-Structural Wall,TS_PC Wall,,
Walls,Basic Wall,TS_150mm Thk. LW Concrete Wall,Basic Wall,,,WALL : 150mm Thk. Lightweight Precast Concrete Wall with 2hr Fire Rating,,TS_150mm Thk. LW Concrete Wall,TS_LW Wall (w/ FRS),,
Walls,Basic Wall,TS_250mm Thk. PC Parapet Wall (PP1-2),Basic Wall,,,WALL : 250mm Thk. Precast Parapet Wall (Type E),(BS 3.2) Precast Concrete Wall with Skim Coat,TS_250mm Thk. PC Parapet Wall (PP1-2),TS_PC Parapet Wall,,
Walls,Basic Wall,TS_150mm Thk. PC Non-Structural Wall (FRS 2hr),Basic Wall,,,WALL : 150mm Thk. Precast Non-Structural Wall with 2hr Fire Rating,,TS_150mm Thk. PC Non-Structural Wall (FRS 2hr),TS_PC Wall (w/ FR),,
Walls,Basic Wall,TS_150mm Thk. PC Structural Wall (Hanger),Basic Wall,,,WALL : 150mm Thk. PC Structural Wall (Hanger),"(BS 3.3) Precast Concrete Wall with Plastering, Tile/Stone Finishes",TS_150mm Thk. PC Structural Wall (Hanger),TS_PC Wall,,
Walls,Basic Wall,TS_75mm Thk. PC Non-Structural Wall (FRS 2hr),Basic Wall,,,WALL : 150mm Thk. Precast Non-Structural Wall with 2hr Fire Rating,,TS_75mm Thk. PC Non-Structural Wall (FRS 2hr),TS_PC Wall (w/ FR),,
Walls,Basic Wall,TS_75mm Thk.Dry Wall,Basic Wall,,,WALL : 100mm Thk. Lightweight Precast Concrete Wall with 2hr Fire Rating,,TS_75mm Thk.Dry Wall,TS_LW Wall (w/ FRS),,
Walls,Basic Wall,TS_175mm Thk. PC Parapet Wall (PP3-1),Basic Wall,,,WALL : 175mm Thk. Precast Parapet Wall with Coping,(BS 5.2) Cast In-Situ Reinforced Concrete Wall with Skim Coat,TS_175mm Thk. PC Parapet Wall (PP3-1),TS_PC Parapet Wall,,
Walls,Basic Wall,TS_300mm Thk. PC Structural Wall,Basic Wall,,,WALL : 300mm Thk. Precast Structural Wall,,TS_300mm Thk. PC Structural Wall,TS_PC Core Wall,,
Walls,Basic Wall,TS_150mm Thk. RC Non-Structural Wall (CIS),Basic Wall,,,WALL : 150mm Thk. RC Non-Structural Wall,,TS_150mm Thk. RC Non-Structural Wall (CIS),TS_RC Wall,,
Walls,Basic Wall,TS_100mm Thk. PC Non-Structural Wall,Basic Wall,,,WALL : 100mm Thk. Precast Non-Structural Wall,(BS 3.2) Precast Concrete Wall with Skim Coat,TS_100mm Thk. PC Non-Structural Wall,TS_PC Wall,,
Walls,Basic Wall,TS_75mm Thk. LW Concrete Wall,Basic Wall,,,WALL : 100mm Thk. Lightweight Precast Concrete Wall with 2hr Fire Rating,,TS_75mm Thk. LW Concrete Wall,TS_LW Wall (w/ FRS),,
Walls,Basic Wall,TS_12mm Thk. Ductile Concrete Wall (With Profile),Basic Wall,,,WALL : 12mm Thk. Ductile Concrete Wall with Profile,(BS 3.2) Precast Concrete Wall with Skim Coat,TS_12mm Thk. Ductile Concrete Wall (With Profile),TS_Ductile Concrete Wall,,
Walls,Basic Wall,TS_400mm Thk. PC Structural Wall,Basic Wall,,,WALL : 400mm Thk. Precast Structural Wall,,TS_400mm Thk. PC Structural Wall,TS_PC Core Wall,,
Walls,Basic Wall,TS_200mm Thk. PC Structural Wall,Basic Wall,,,WALL : 200mm Thk. Precast Structural Wall,,TS_200mm Thk. PC Structural Wall,TS_PC Core Wall,,
Walls,Basic Wall,TS_400mm Thk. PC Non-Structural Wall,Basic Wall,,,WALL : 400mm Thk. Precast Non-Structural Wall,,TS_400mm Thk. PC Non-Structural Wall,TS_PC Wall,,
Walls,Basic Wall,TS_300mm Thk. PC Non-Structural Wall,Basic Wall,,,WALL : 300mm Thk. Precast Non-Structural Wall,(BS 3.2) Precast Concrete Wall with Skim Coat,TS_300mm Thk. PC Non-Structural Wall,TS_PC Wall,,
Walls,Basic Wall,TS_300mm Thk. RC Non-Structural Wall (CIS),Basic Wall,,,WALL : 300mm Thk. RC Non-Structural Wall,,TS_300mm Thk. RC Non-Structural Wall (CIS),TS_RC Wall,,
Walls,Basic Wall,TS_300mm Thk. RC Structural Wall (CIS),Basic Wall,,,WALL : 300mm Thk. RC Structural Wall,,TS_300mm Thk. RC Structural Wall (CIS),TS_RC Core Wall,,
Walls,Basic Wall,TS_225mm Thk. LW Concrete Wall,Basic Wall,,,WALL : 150mm Thk. Lightweight Precast Concrete Wall,,TS_225mm Thk. LW Concrete Wall,TS_LW Wall,,
Walls,Basic Wall,TS_250mm Thk. PC Parapet Wall (PP1-1),Basic Wall,,,WALL : 250mm Thk. Precast Parapet Wall (Type E),(BS 3.2) Precast Concrete Wall with Skim Coat,TS_250mm Thk. PC Parapet Wall (PP1-1),TS_PC Parapet Wall,,
Walls,Basic Wall,TS_5mm Thk. Skim Coat Finish,Basic Wall,,,WALL : 5mm Thk. Skim Coat Finish,,TS_5mm Thk. Skim Coat Finish,TS_Skim Coat,,
Walls,Basic Wall,TS_15mm Thk. Homogenous Tile,Basic Wall,,,WALL : 15mm Thk. Homogeneous Wall Tiles (300x600mm),,TS_15mm Thk. Homogenous Tile,TS_Homogenous Tile (300X600),,
Walls,Basic Wall,TS_250mm Thk. PC Parapet Wall (with Coping),Basic Wall,,,WALL : 250mm Thk. Precast Parapet Wall with Coping,(BS 5.2) Cast In-Situ Reinforced Concrete Wall with Skim Coat,TS_250mm Thk. PC Parapet Wall (with Coping),TS_PC Parapet Wall,,
Walls,Basic Wall,TS_120mm Thk. PC Parapet Wall_Type B (with Coping),Basic Wall,,,WALL : 120mm Thk. Precast Parapet Wall with Coping (Type B),(BS 5.2) Cast In-Situ Reinforced Concrete Wall with Skim Coat,TS_120mm Thk. PC Parapet Wall_Type B (with Coping),TS_PC Parapet Wall,,
Walls,Basic Wall,TS_120mm Thk. PC Parapet Wall_Type B.1 (with Coping),Basic Wall,,,WALL : 120mm Thk. Precast Parapet Wall with Coping (Type B),(BS 5.2) Cast In-Situ Reinforced Concrete Wall with Skim Coat,TS_120mm Thk. PC Parapet Wall_Type B.1 (with Coping),TS_PC Parapet Wall,,
Walls,Basic Wall,TS_120mm Thk. PC Parapet Wall_Type A (with Coping),Basic Wall,,,WALL : 120mm Thk. Precast Parapet Wall with Coping (Type A),(BS 5.2) Cast In-Situ Reinforced Concrete Wall with Skim Coat,TS_120mm Thk. PC Parapet Wall_Type A (with Coping),TS_PC Parapet Wall,,
Walls,Basic Wall,TS_120mm Thk. PC Parapet Wall_Type A,Basic Wall,,,WALL : 120mm Thk. Precast Parapet Wall with Coping (Type A),(BS 5.2) Cast In-Situ Reinforced Concrete Wall with Skim Coat,TS_120mm Thk. PC Parapet Wall_Type A,TS_PC Parapet Wall,,
Walls,Basic Wall,TS_100mm Thk. LW Concrete Wall,Basic Wall,,,WALL : 100mm Thk. Lightweight Precast Concrete Wall with 2hr Fire Rating,,TS_100mm Thk. LW Concrete Wall,TS_LW Wall (w/ FRS),,
Walls,Basic Wall,TS_20mm Thk. Homogeneous Tile (PBU) - Cliffstone Ice,Basic Wall,,,WALL : 20mm Thk. Homogeneous Wall Tiles (300x600mm),,TS_20mm Thk. Homogeneous Tile (PBU) - Cliffstone Ice,TS_WT-01(Cliffstone Ice),,
Walls,Basic Wall,TS_16mm Thk. Gypsum Panel,Basic Wall,,,WALL : 16mm Thk. Gypsum Panel,(BS 3.2) Precast Concrete Wall with Skim Coat,TS_16mm Thk. Gypsum Panel,TS_Gypsum Panel,,
Walls,Basic Wall,TS_75mm Thk. RC Non-Structural Wall (CIS),Basic Wall,,,WALL : 75mm Thk. RC Non-Structural Wall,,TS_75mm Thk. RC Non-Structural Wall (CIS),TS_RC Wall,,
Walls,Basic Wall,TS_90mm Thk.Dry Wall,Basic Wall,,,WALL : 100mm Thk. Lightweight Precast Concrete Wall with 2hr Fire Rating,,TS_90mm Thk.Dry Wall,TS_LW Wall (w/ FRS),,
Walls,Basic Wall,TS_120mm Thk. PC Parapet Wall_Type A.2 (with Coping),Basic Wall,,,WALL : 120mm Thk. Precast Parapet Wall with Coping (Type A),(BS 5.2) Cast In-Situ Reinforced Concrete Wall with Skim Coat,TS_120mm Thk. PC Parapet Wall_Type A.2 (with Coping),TS_PC Parapet Wall,,
Walls,Basic Wall,TS_PBU Ceiling (20mm Thk High Strength Concrete),Basic Wall,,,WALL : 20mm Thk. High Strength Concrete PBU Ceiling,Ceiling,TS_PBU Ceiling (20mm Thk High Strength Concrete),TS_High Strength Concrete Ceiling,,
Walls,Basic Wall,TS_92mm Thk. RC Kerb Wall,Basic Wall,,,WALL : 92 x 100mm High RC Kerb (PBU),(BS 3.2) Precast Concrete Wall with Skim Coat,TS_92mm Thk. RC Kerb Wall,TS_Kerb,,
Walls,Basic Wall,TS_50mm Thk. RC Kerb Wall,Basic Wall,,,WALL : 50 x 100mm High RC Kerb (PBU),(BS 3.2) Precast Concrete Wall with Skim Coat,TS_50mm Thk. RC Kerb Wall,TS_Kerb,,
Walls,Basic Wall,TS_50mm Thk. Ductile Concrete Wall,Basic Wall,,,WALL : 50mm Thk. Ductile Concrete Wall,(BS 3.2) Precast Concrete Wall with Skim Coat,TS_50mm Thk. Ductile Concrete Wall,TS_Ductile Concrete Wall,,
Walls,Basic Wall,TS_20mm Thk. Ductile Concrete Wall,Basic Wall,,,WALL : 20mm Thk. Ductile Concrete Wall,(BS 3.2) Precast Concrete Wall with Skim Coat,TS_20mm Thk. Ductile Concrete Wall,TS_Ductile Concrete Wall,,
Walls,Basic Wall,TS_15mm Ceiling (CP-01),Basic Wall,,,WALL : 15mm Thk. Ceiling (Box-up),,TS_15mm Ceiling (CP-01),TS_CP-01A,,
Walls,Basic Wall,TS_150mm Thk. RC Parapet Wall,Basic Wall,,,WALL : 150mm Thk. RC Parapet Wall,(BS 5.2) Cast In-Situ Reinforced Concrete Wall with Skim Coat,TS_150mm Thk. RC Parapet Wall,TS_RC Parapet Wall,,
Walls,Basic Wall,TS_2mm Aluminium Panel (Powder Coated),Basic Wall,,,WALL : 150mm Thk. Lightweight Precast Concrete Wall with 2hr Fire Rating,,TS_2mm Aluminium Panel (Powder Coated),TS_Aluminun Powder Coat,,
Walls,Basic Wall,TS_PBU Ceiling (9mm Calcium Silicate),Basic Wall,,,WALL : 9mm Thk. Calcium Silicate PBU Ceiling,,TS_PBU Ceiling (9mm Calcium Silicate),TS_Calcium Silicate,,
Walls,Basic Wall,TS_90mm Thk. RC Kerb Wall,Basic Wall,,,WALL : 50 x 100mm High RC Kerb (PBU),(BS 3.2) Precast Concrete Wall with Skim Coat,TS_90mm Thk. RC Kerb Wall,TS_Kerb,,
Walls,Basic Wall,TS_150mm Thk. RC Kerb Wall,Basic Wall,,,WALL : 92 x 100mm High RC Kerb (PBU),(BS 3.2) Precast Concrete Wall with Skim Coat,TS_150mm Thk. RC Kerb Wall,TS_Kerb,,
Walls,Basic Wall,TS_50mm Thk. PC Non-Structural Wall (FRS 2hr),Basic Wall,,,WALL : 150mm Thk. Precast Non-Structural Wall with 2hr Fire Rating,,TS_50mm Thk. PC Non-Structural Wall (FRS 2hr),TS_PC Wall (w/ FR),,
Walls,Basic Wall,TS_120mm Thk. PC Non-Structural Wall,Basic Wall,,,WALL : 150mm Thk. Precast Non-Structural Wall,(BS 3.2) Precast Concrete Wall with Skim Coat,TS_120mm Thk. PC Non-Structural Wall,TS_PC Wall,,
Site,,,TS_PWD_1400x900 (t),,,,,,,,
Site,TS_Tactile Tiles-600 (t),Single Row,TS_Tactile Tiles-600 (t),,,,,Single Row,,,
Site,,,TS_PWD,,,,,,,,
Generic Models,TS_Service Duct,Service Duct Box-up,TS_Service Duct,,,,,Service Duct Box-up,,,
Generic Models,,,TS_L3 Headroom Clearance,,,,,,,,
Generic Models,,,TS_L4 Headroom Clearance,,,,,,,,
Generic Models,TS_Feature Frame (East),TS_Feature Frame (East),TS_Feature Frame (East),,,,,TS_Feature Frame (East),,,
Generic Models,,,TS_Depression Component,,,,,,,,
Generic Models,TS_Feature Frame (North),TS_Feature Frame (North),TS_Feature Frame (North),,,,,TS_Feature Frame (North),,,
Generic Models,TS_Feature Frame (West 2),TS_Feature Frame (West 2),TS_Feature Frame (West 2),,,,,TS_Feature Frame (West 2),,,
Generic Models,TS_Feature Frame (South),TS_Feature Frame (South),TS_Feature Frame (South),,,,,TS_Feature Frame (South),,,
Doors,TS_RS1,RS1,TS_RS1,23-17 11 10,,"Door : Roller Shutter, Hot Dipped Galvanized Steel With Pre-Coated Paint",MCR03-01-01-,RS1,,,
Doors,TS_MDV1,MDV1,TS_MDV1,,,"Door : Swing Door, Hot Dipped Galvanized Steel With Spray Paint",MCR03-01-01-,MDV1,,,
Doors,TS_MD3,MD3,TS_MD3,,,"Door : Swing Door, Hot Dipped Galvanized Steel With Spray Paint",MCR03-01-01-,MD3,,,
Doors,TS_RS2,RS2,TS_RS2,23-17 11 10,,"Door : Roller Shutter, Hot Dipped Galvanized Steel With Pre-Coated Paint",MCR03-01-01-,RS2,,,
Doors,TS_MD2,MD2,TS_MD2,,,"Door : Swing Door, Hot Dipped Galvanized Steel With Spray Paint",MCR03-01-01-,MD2,,,
Doors,TS_FD2,FD2,TS_FD2,,,"Door : Swing Door, Hot Dipped Galvanized Steel With Spray Paint",MCR03-01-01-,FD2,,,
