"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Pipes","","","Pipe Types","[4159459]","","","","","","","",""
"Pipes","","","Pipe Types","[4159460]","","","","","","","",""
"Pipes","","","Pipe Types","[4159462]","","","","","","","",""
"Pipes","","","Pipe Types","[4159463]","","","","","","","",""
"Pipes","","","Pipe Types","[4159464]","","","","","","","",""
"Pipes","","","Pipe Types","[4159465]","","","","","","","",""
"Pipes","","","Pipe Types","[4159836]","","","","","","","",""
"Pipes","","","Pipe Types","[4159837]","","","","","","","",""
"Pipes","","","Pipe Types","[4159839]","","","","","","","",""
"Pipes","","","Pipe Types","[4159840]","","","","","","","",""
"Pipes","","","Pipe Types","[4159841]","","","","","","","",""
"Pipes","","","Pipe Types","[4159842]","","","","","","","",""
"Pipes","","","Pipe Types","[4159923]","","","","","","","",""
"Pipes","","","Pipe Types","[4159924]","","","","","","","",""
"Pipes","","","Pipe Types","[4159928]","","","","","","","",""
"Pipes","","","Pipe Types","[4159929]","","","","","","","",""
"Pipes","","","Pipe Types","[4159930]","","","","","","","",""
"Pipes","","","Pipe Types","[4159931]","","","","","","","",""
"Pipes","","","Pipe Types","[4159938]","","","","","","","",""
"Pipes","","","Pipe Types","[4159939]","","","","","","","",""
"Pipes","","","Pipe Types","[4159941]","","","","","","","",""
"Pipes","","","Pipe Types","[4159942]","","","","","","","",""
"Pipes","","","Pipe Types","[4159946]","","","","","","","",""
"Pipes","","","Pipe Types","[4159947]","","","","","","","",""
"Pipes","","","Pipe Types","[4160034]","","","","","","","",""
"Pipes","","","Pipe Types","[4160035]","","","","","","","",""
"Pipes","","","Pipe Types","[4166168]","","","","","","","",""
"Pipes","","","Pipe Types","[4166169]","","","","","","","",""
"Pipes","","","Pipe Types","[4166182]","","","","","","","",""
"Pipes","","","Pipe Types","[4166183]","","","","","","","",""
"Pipes","","","Pipe Types","[4166186]","","","","","","","",""
"Pipes","","","Pipe Types","[4166187]","","","","","","","",""
"Pipes","","","Pipe Types","[4166189]","","","","","","","",""
"Pipes","","","Pipe Types","[4166190]","","","","","","","",""
"Pipes","","","Pipe Types","[4166191]","","","","","","","",""
"Pipes","","","Pipe Types","[4166192]","","","","","","","",""
"Pipes","","","Pipe Types","[4166320]","","","","","","","",""
"Pipes","","","Pipe Types","[4166321]","","","","","","","",""
"Pipes","","","Pipe Types","[4166322]","","","","","","","",""
"Pipes","","","Pipe Types","[4166323]","","","","","","","",""
"Pipes","","","Pipe Types","[4166330]","","","","","","","",""
"Pipes","","","Pipe Types","[4166331]","","","","","","","",""
"Pipes","","","Pipe Types","[4166333]","","","","","","","",""
"Pipes","","","Pipe Types","[4166334]","","","","","","","",""
"Pipes","","","Pipe Types","[4166338]","","","","","","","",""
"Pipes","","","Pipe Types","[4166339]","","","","","","","",""
"Pipes","","","Pipe Types","[4166358]","","","","","","","",""
"Pipes","","","Pipe Types","[4166359]","","","","","","","",""
"Pipes","","","Pipe Types","[4166442]","","","","","","","",""
"Pipes","","","Pipe Types","[4166443]","","","","","","","",""
"Pipes","","","Pipe Types","[4166592]","","","","","","","",""
"Pipes","","","Pipe Types","[4166593]","","","","","","","",""
"Pipes","","","Pipe Types","[4169426]","","","","","","","",""
"Pipes","","","Pipe Types","[4169427]","","","","","","","",""
"Pipes","","","Pipe Types","[4169430]","","","","","","","",""
"Pipes","","","Pipe Types","[4169431]","","","","","","","",""
"Pipes","","","Pipe Types","[4169444]","","","","","","","",""
"Pipes","","","Pipe Types","[4169445]","","","","","","","",""
