"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Generic Models","LCBC_Tactile","LCBC_4 Tactile","LCBC_Tactile","[4946801]","","","Ceramic Tactiles","","LCBC_4 Tactile","","<By Category>"
"Generic Models","LCBC_Tactile","LCBC_4 Tactile","LCBC_Tactile","[4946910]","","","Ceramic Tactiles","","LCBC_4 Tactile","","<By Category>"
"Generic Models","LCBC_Tactile","LCBC_4 Tactile","LCBC_Tactile","[4946911]","","","Ceramic Tactiles","","LCBC_4 Tactile","","<By Category>"
"Generic Models","LCBC_Tactile","LCBC_5 Tactile","LCBC_Tactile","[4949340]","","","Ceramic Tactiles","","LCBC_5 Tactile","","<By Category>"
"Generic Models","LCBC_Tactile","LCBC_5 Tactile","LCBC_Tactile","[4949341]","","","Ceramic Tactiles","","LCBC_5 Tactile","","<By Category>"
"Generic Models","LCBC_Tactile","LCBC_5 Tactile","LCBC_Tactile","[4949621]","","","Ceramic Tactiles","","LCBC_5 Tactile","","<By Category>"
"Generic Models","LCBC_Tactile","LCBC_5 Tactile","LCBC_Tactile","[4949622]","","","Ceramic Tactiles","","LCBC_5 Tactile","","<By Category>"
"Generic Models","LCBC_Tactile","LCBC_5 Tactile","LCBC_Tactile","[4949662]","","","Ceramic Tactiles","","LCBC_5 Tactile","","<By Category>"
"Generic Models","LCBC_Tactile","LCBC_5 Tactile","LCBC_Tactile","[4949663]","","","Ceramic Tactiles","","LCBC_5 Tactile","","<By Category>"
"Generic Models","LCBC_Tactile","LCBC_5 Tactile","LCBC_Tactile","[4949770]","","","Ceramic Tactiles","","LCBC_5 Tactile","","<By Category>"
"Generic Models","LCBC_Tactile","LCBC_5 Tactile","LCBC_Tactile","[4949771]","","","Ceramic Tactiles","","LCBC_5 Tactile","","<By Category>"
"Generic Models","LCBC_Tactile","LCBC_5 Tactile","LCBC_Tactile","[4949826]","","","Ceramic Tactiles","","LCBC_5 Tactile","","<By Category>"
"Generic Models","LCBC_Tactile","LCBC_5 Tactile","LCBC_Tactile","[4949827]","","","Ceramic Tactiles","","LCBC_5 Tactile","","<By Category>"
"Generic Models","LCBC_Tactile","LCBC_5 Tactile","LCBC_Tactile","[4949850]","","","Ceramic Tactiles","","LCBC_5 Tactile","","<By Category>"
"Generic Models","LCBC_Tactile","LCBC_5 Tactile","LCBC_Tactile","[4949851]","","","Ceramic Tactiles","","LCBC_5 Tactile","","<By Category>"
"Generic Models","","","LCBC_Opening Floor Pipe","[5009302]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor Pipe","[5009303]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor Pipe","[5012278]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor Pipe","[5012279]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor Pipe","[5015693]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor Pipe","[5015694]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor Pipe","[5015695]","","","","","","","",""
