"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Generic Models","","","BIN1","[4580250]","","","","","","","",""
"Generic Models","L166_Tactile","LCBC_4 Tactile","L166_Tactile","[4581494]","","","Ceramic Tactiles","","LCBC_4 Tactile","","<By Category>"
"Generic Models","L166_Tactile","LCBC_4 Tactile","L166_Tactile","[4581495]","","","Ceramic Tactiles","","LCBC_4 Tactile","","<By Category>"
"Generic Models","L166_Tactile","LCBC_4 Tactile","L166_Tactile","[4581496]","","","Ceramic Tactiles","","LCBC_4 Tactile","","<By Category>"
"Generic Models","L166_Tactile","LCBC_4 Tactile","L166_Tactile","[4581497]","","","Ceramic Tactiles","","LCBC_4 Tactile","","<By Category>"
"Generic Models","L166_Tactile","LCBC_4 Tactile","L166_Tactile","[4582180]","","","Ceramic Tactiles","","LCBC_4 Tactile","","<By Category>"
"Generic Models","L166_Tactile","LCBC_4 Tactile","L166_Tactile","[4582181]","","","Ceramic Tactiles","","LCBC_4 Tactile","","<By Category>"
"Generic Models","L166_Tactile","LCBC_4 Tactile","L166_Tactile","[4582182]","","","Ceramic Tactiles","","LCBC_4 Tactile","","<By Category>"
"Generic Models","L166_Tactile","LCBC_4 Tactile","L166_Tactile","[4582183]","","","Ceramic Tactiles","","LCBC_4 Tactile","","<By Category>"
"Generic Models","L166_Tactile","LCBC_4 Tactile","L166_Tactile","[4659374]","","","Ceramic Tactiles","","LCBC_4 Tactile","","<By Category>"
"Generic Models","L166_Tactile","LCBC_4 Tactile","L166_Tactile","[4659375]","","","Ceramic Tactiles","","LCBC_4 Tactile","","<By Category>"
"Generic Models","L166_Tactile","LCBC_4 Tactile","L166_Tactile","[4659389]","","","Ceramic Tactiles","","LCBC_4 Tactile","","<By Category>"
"Generic Models","L166_Tactile","LCBC_4 Tactile","L166_Tactile","[4659390]","","","Ceramic Tactiles","","LCBC_4 Tactile","","<By Category>"
"Generic Models","L166_Tactile","LCBC_4 Tactile","L166_Tactile","[4659852]","","","Ceramic Tactiles","","LCBC_4 Tactile","","<By Category>"
"Generic Models","L166_Tactile","LCBC_4 Tactile","L166_Tactile","[4659853]","","","Ceramic Tactiles","","LCBC_4 Tactile","","<By Category>"
"Generic Models","L166_Tactile","LCBC_4 Tactile","L166_Tactile","[4659898]","","","Ceramic Tactiles","","LCBC_4 Tactile","","<By Category>"
"Generic Models","L166_Tactile","LCBC_4 Tactile","L166_Tactile","[4659899]","","","Ceramic Tactiles","","LCBC_4 Tactile","","<By Category>"
"Generic Models","L166_Tactile","LCBC_5 Tactile","L166_Tactile","[4625591]","","","Ceramic Tactiles","","LCBC_5 Tactile","","<By Category>"
"Generic Models","L166_Tactile","LCBC_5 Tactile","L166_Tactile","[4625592]","","","Ceramic Tactiles","","LCBC_5 Tactile","","<By Category>"
"Generic Models","L166_Tactile","LCBC_5 Tactile","L166_Tactile","[4662654]","","","Ceramic Tactiles","","LCBC_5 Tactile","","<By Category>"
"Generic Models","L166_Tactile","LCBC_5 Tactile","L166_Tactile","[4662655]","","","Ceramic Tactiles","","LCBC_5 Tactile","","<By Category>"
"Generic Models","L166_Tactile","LCBC_5 Tactile","L166_Tactile","[4662673]","","","Ceramic Tactiles","","LCBC_5 Tactile","","<By Category>"
"Generic Models","L166_Tactile","LCBC_5 Tactile","L166_Tactile","[4662674]","","","Ceramic Tactiles","","LCBC_5 Tactile","","<By Category>"
"Generic Models","L166_Tactile","LCBC_5 Tactile","L166_Tactile","[4662896]","","","Ceramic Tactiles","","LCBC_5 Tactile","","<By Category>"
"Generic Models","L166_Tactile","LCBC_5 Tactile","L166_Tactile","[4662897]","","","Ceramic Tactiles","","LCBC_5 Tactile","","<By Category>"
"Generic Models","L166_Tactile","LCBC_5 Tactile","L166_Tactile","[4662915]","","","Ceramic Tactiles","","LCBC_5 Tactile","","<By Category>"
