Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Generic Models,Motor Room Governor (L-BD1.11),Motor Room Governor (L-BD1.04),Motor Room Governor (L-BD1.11),,,,,Motor Room Governor (L-BD1.04),,
Generic Models,Motor Room Governor (L-BD1.11),"Motor Room Governor (L-BD1.05,06,07 & 08)",Motor Room Governor (L-BD1.11),,,,,"Motor Room Governor (L-BD1.05,06,07 & 08)",,
Generic Models,Motor Room Governor (L-BD1.11),Motor Room Governor (L-BD1.11),Motor Room Governor (L-BD1.11),,,,,Motor Room Governor (L-BD1.11),,
Generic Models,L-BD1.11 (1st),L-BD1.11 (1st),L-BD1.11 (1st),,,,,L-BD1.11 (1st),,
Generic Models,L-BD1.11 (3rd),L-BD1.11 (3rd),L-BD1.11 (3rd),,,,,L-BD1.11 (3rd),,
Generic Models,L-BD1.11 (9th),L-BD1.11 (9th),L-BD1.11 (9th),,,,,L-BD1.11 (9th),,
Generic Models,(L-BD1.05 & 06) 1st,(L-BD1.05 & 06) 1st,(L-BD1.05 & 06) 1st,,,,,(L-BD1.05 & 06) 1st,,
Generic Models,(L-BD1.05 & 06) 2nd,(L-BD1.05 & 06) 2nd,(L-BD1.05 & 06) 2nd,,,,,(L-BD1.05 & 06) 2nd,,
Generic Models,(L-BD1.05 & 06) 9th,(L-BD1.05 & 06) 9th,(L-BD1.05 & 06) 9th,,,,,(L-BD1.05 & 06) 9th,,
Generic Models,L-BD1.11 (4th),L-BD1.11 (4th),L-BD1.11 (4th),,,,,L-BD1.11 (4th),,
Generic Models,L-BD1.11 (5th),L-BD1.11 (5th),L-BD1.11 (5th),,,,,L-BD1.11 (5th),,
Generic Models,L-BD1.11 (6th),L-BD1.11 (6th),L-BD1.11 (6th),,,,,L-BD1.11 (6th),,
Generic Models,L-BD1.11 (7th),L-BD1.11 (7th),L-BD1.11 (7th),,,,,L-BD1.11 (7th),,
Generic Models,L-BD1.11 (8th),L-BD1.11 (8th),L-BD1.11 (8th),,,,,L-BD1.11 (8th),,
Generic Models,(L-BD1.05 & 06) 3rd,(L-BD1.05 & 06) 3rd,(L-BD1.05 & 06) 3rd,,,,,(L-BD1.05 & 06) 3rd,,
Generic Models,(L-BD1.05 & 06) 4th,(L-BD1.05 & 06) 4th,(L-BD1.05 & 06) 4th,,,,,(L-BD1.05 & 06) 4th,,
Generic Models,(L-BD1.05 & 06) 6th,(L-BD1.05 & 06) 6th,(L-BD1.05 & 06) 6th,,,,,(L-BD1.05 & 06) 6th,,
Generic Models,(L-BD1.05 & 06) 7th,(L-BD1.05 & 06) 7th,(L-BD1.05 & 06) 7th,,,,,(L-BD1.05 & 06) 7th,,
Generic Models,(L-BD1.05 & 06) 8th,(L-BD1.05 & 06) 8th,(L-BD1.05 & 06) 8th,,,,,(L-BD1.05 & 06) 8th,,
